ResponseID,Response,Core,Answer,Gramm,Interp,Verif
I05U-gNSC-p322-r1,The child is in school.,0,0,1,1,1
I05U-gNSC-p322-r2,The teacher is teaching math to the child.,1,1,1,1,1
I05U-gNSC-p323-r1,Class ,0,0,0,0,1
I05U-gNSC-p323-r2,School,0,0,0,0,0
I05U-gNSC-p325-r1,A teacher is going over math problems,1,1,1,1,1
I05U-gNSC-p325-r2,The child is learning math from the teacher,1,1,1,1,1
I05U-gNSC-p334-r1,A teacher gives a math lesson to a single student. ,1,1,1,1,1
I05U-gNSC-p334-r2,"A boy, one who looks far too old for such basic math, listens to a lecture from an adult. ",1,1,1,1,1
I05U-gNSC-p343-r1,The teacher teaching the young boy,0,1,0,1,1
I05U-gNSC-p343-r2,The teacher is teaching the boy adding and subtraction,1,1,1,1,1
I05U-gNSC-p344-r1,teacher is teaching math,1,1,1,1,1
I05U-gNSC-p344-r2,teacher is tutoring,0,1,0,0,1
I05U-gNSC-p349-r1,A child is at school learning math.,1,1,1,1,1
I05U-gNSC-p349-r2,A teacher is teaching a student math.,1,1,1,1,1
I05U-gNSC-p352-r1,A student is learning. ,0,1,1,0,1
I05U-gNSC-p352-r2,A teacher is teaching. ,0,1,1,0,1
I05U-gNSC-p355-r1,A teacher is giving a math lesson.,1,1,1,1,1
I05U-gNSC-p355-r2,A boy is in his math class.,0,0,1,1,1
I05U-gNSC-p356-r1,A woman is teaching a child. ,0,1,1,1,1
I05U-gNSC-p356-r2,A child is learning from a woman. ,0,1,1,1,1
I05U-gNSC-p358-r1,A boy being taught math.,1,1,1,0,1
I05U-gNSC-p358-r2,A teacher teaching math to a boy.,1,1,0,1,1
I05U-gNSC-p359-r1,The lady is teaching the boy math.,1,1,1,1,1
I05U-gNSC-p359-r2,The boy is sitting in math class.,1,1,1,1,1
I05U-gNSC-p363-r1,The student is learning new math skills. ,1,1,1,1,1
I05U-gNSC-p363-r2,The teacher is teaching her student addition and subtraction. ,1,1,1,1,1
I05U-gNSC-p364-r1,The teacher is explaining addition and subtraction to the student. ,1,1,1,1,1
I05U-gNSC-p364-r2,The pupil is learning about addition and subtraction from the teacher.,1,1,1,1,1
I05U-gNSC-p365-r1,It seems as if nobody showed up to school.,0,0,1,0,0
I05U-gNSC-p365-r2,This little boy is the only one interested in learning at school.,0,0,1,1,0
