ResponseID,Response,Core,Answer,Gramm,Interp,Verif
I09U-gNSF-p143-r1,The girl is riding a horse. ,1,1,1,1,1
I09U-gNSF-p143-r2,The girl is going for a ride on her horse.,1,1,1,1,1
I09U-gNSF-p151-r1,The girl is riding a horse.,1,1,1,1,1
I09U-gNSF-p151-r2,The horse is being ridden by a girl.,1,1,1,1,1
I09U-gNSF-p294-r1,The event is a horse show.,0,0,1,0,1
I09U-gNSF-p294-r2,The girl is riding a pony.,1,1,1,1,1
I09U-gNSF-p295-r1,The girl is riding a horse.,1,1,1,1,1
I09U-gNSF-p295-r2,The girl is going for a ride on a horse.,1,1,1,1,1
I09U-gNSF-p296-r1,The girl is riding a horse.,1,1,1,1,1
I09U-gNSF-p296-r2,The horse is carrying a girl.,1,1,1,1,1
I09U-gNSF-p297-r1,The girl rides a horse.,1,0,1,1,1
I09U-gNSF-p297-r2,The horse is trotting the girl around on the grass.,1,1,1,1,1
I09U-gNSF-p298-r1,She is riding a horse,1,1,1,1,1
I09U-gNSF-p298-r2,The horse is trotting,0,1,1,1,1
I09U-gNSF-p304-r1,The equestrienne rode contentedly.,1,0,1,1,1
I09U-gNSF-p304-r2,The girl is riding a horse.,1,1,1,1,1
I09U-gNSF-p305-r1,The girl is riding the horse.,1,1,1,1,1
I09U-gNSF-p305-r2,The horse is trotting.,0,1,1,1,1
I09U-gNSC-p322-r1,She is dressed & ready for the fox hunt.,0,0,1,0,0
I09U-gNSC-p322-r2,She is practicing for the running of the hounds in a fox hunt.,0,1,1,0,0
I09U-gNSC-p325-r1,The girl is riding a horse,1,1,1,1,1
I09U-gNSC-p325-r2,A girl is riding a brown horse,1,1,1,1,1
I09U-gNSC-p334-r1,A young woman practices equine therapy as an experimental treatment to reduce the size of her gigantic head. ,0,0,1,0,0
I09U-gNSC-p334-r2,A fearful horse braces for a girl's rage. ,0,0,1,0,0
I09U-gNSC-p343-r1,The little girl have gone horseback riding on a good day,1,0,0,1,1
I09U-gNSC-p343-r2,The little girl is competing in a horse Show,0,1,1,1,0
I09U-gNSC-p344-r1,girl is horseback riding,1,1,0,1,1
I09U-gNSC-p344-r2,girl is riding horse ,1,1,0,1,1
I09U-gNSC-p349-r1,A girl is riding a horse.,1,1,1,1,1
I09U-gNSC-p349-r2,A girl is in an equestrian event.,0,0,1,1,1
I09U-gNSC-p352-r1,A girl is riding a horse. ,1,1,1,1,1
I09U-gNSC-p352-r2,A horse is being riden. ,0,1,0,1,1
I09U-gNSC-p355-r1,A girl is riding her horse.,1,1,1,1,1
I09U-gNSC-p355-r2,A girl is taking horseback riding lessons.,1,1,1,1,1
I09U-gNSC-p356-r1,A girl is riding a horse. ,1,1,1,1,1
I09U-gNSC-p356-r2,A horse is being ridden by a girl. ,1,1,1,1,1
I09U-gNSC-p358-r1,A girl riding a horse ,1,1,0,1,1
I09U-gNSC-p358-r2,Horse riding lessons ,0,1,0,1,1
I09U-gNSC-p359-r1,The girl is riding a horse.,1,1,1,1,1
I09U-gNSC-p359-r2,A girl is taking her horse through the pasture.,1,1,1,1,0
I09U-gNSC-p363-r1,The horse is trotting along.,0,1,1,1,1
I09U-gNSC-p363-r2,The girl is enjoying a stroll with her horse. ,1,1,1,1,1
I09U-gNSC-p364-r1,The girl is riding a horse. ,1,1,1,1,1
I09U-gNSC-p364-r2,The girl on the horse is taking riding lessons. ,0,1,1,1,0
I09U-gNSC-p365-r1,A little jocky is riding a horse.,1,1,0,1,1
I09U-gNSC-p365-r2,A little jocky girl is riding this horse.,1,1,0,1,1
I09U-gNSC-p367-r1,A girl riding a horse.,1,1,0,1,1
I09U-gNSC-p367-r2,A horse being ridden by a girl. ,1,1,0,1,1
I09U-gNSC-p370-r1,A girl is riding a horse,1,1,1,1,1
I09U-gNSC-p370-r2,A girl in a pink coat and black helmet is riding a horse,1,1,1,1,1
I09U-gNSC-p374-r1,The girl is riding a horse.,1,1,1,1,1
I09U-gNSC-p374-r2,The horse is concerned about the girl riding it.,1,0,1,1,0
I09U-gNSC-p377-r1,horse,0,0,0,0,0
I09U-gNSC-p377-r2,riding horse,0,0,0,0,0
I09U-gNSC-p379-r1,Edie loves to ride her horse.,0,0,1,1,0
I09U-gNSC-p379-r2,The girl and her horse are out for a ride.,1,0,1,1,1
I09U-gNSC-p380-r1,girl rode the horse,1,0,0,1,1
I09U-gNSC-p380-r2,Horse ride by a girl,1,0,0,1,1
I09U-gNSC-p383-r1,A girl rides a horse.,1,0,1,1,1
I09U-gNSC-p383-r2,The horse is unsure of it's enthusiastic rider.,0,0,0,1,1
I09U-gNSC-p385-r1,SHE IS RIDING THE HORSE.,1,1,1,1,1
I09U-gNSC-p385-r2,SHE IS HAPPY RIDING HER HORSE.,1,1,1,1,1
I09U-gNSC-p387-r1,The girl is riding her horse.,1,1,1,1,1
I09U-gNSC-p387-r2,She is taking her horse out for a ride to get ready for the competition.,1,1,1,1,0
I09U-gNSC-p390-r1,The girl seems mad at the horse.,0,0,1,1,0
I09U-gNSC-p390-r2,The horse looks apprehensive.,0,0,1,1,1
I09U-gNSC-p393-r1,A young girl is riding a horse.,1,1,1,1,1
I09U-gNSC-p393-r2,A horse is being ridden by a happy young girl.,1,1,1,1,1
I09U-gNSC-p394-r1,The girl is riding the horse,1,1,1,1,1
I09U-gNSC-p394-r2,The horse is being ridden by the girl,1,1,1,1,1
I09U-gNSC-p396-r1,A girl is riding a horse,1,1,1,1,1
I09U-gNSC-p396-r2,The horse is being rod by the girl,0,0,0,1,1
I09U-gNSC-p401-r1,A small girl is riding a horse.,1,1,1,1,1
