ResponseID,Response,Core,Answer,Gramm,Interp,Verif,parse,ldh,xdh,xdx,ldh tfidf cosine,xdh tfidf cosine,xdx tfidf cosine
I02U-gNSC-p322-r1,The kid''s eating pizza.,1,1,1,1,1,"1	the	_	DT	DT	_	2	det	_	_
2	kid	_	NN	NN	_	0	root	_	_
3	''	_	''	''	_	2	punct	_	_
4	s	_	VBZ	VBZ	_	5	aux	_	_
5	eat	_	VBG	VBG	_	2	rcmod	_	_
6	pizza	_	NN	NN	_	5	dobj	_	_
7	.	_	.	.	_	2	punct	_	_","['det$@%the$@%kid', 'root$@%kid$@%VROOT', ""punct$@%''$@%kid"", 'aux$@%s$@%eat', 'rcmod$@%eat$@%kid', 'dobj$@%pizza$@%eat', 'punct$@%.$@%kid']","['x$@%the$@%kid', 'x$@%kid$@%VROOT', ""x$@%''$@%kid"", 'x$@%s$@%eat', 'x$@%eat$@%kid', 'x$@%pizza$@%eat', 'x$@%.$@%kid']","['x$@%the$@%x', 'x$@%kid$@%x', ""x$@%''$@%x"", 'x$@%s$@%x', 'x$@%eat$@%x', 'x$@%pizza$@%x', 'x$@%.$@%x']",0.81236327953741139,0.80617391437076769,0.31138393351409621
I02U-gNSC-p322-r2,The kid is fixin' to eat a piece of pizza.,1,1,1,1,1,"1	the	_	DT	DT	_	2	det	_	_
2	kid	_	NN	NN	_	7	xsubj	_	_
3	be	_	VBZ	VBZ	_	4	cop	_	_
4	fixin	_	JJ	JJ	_	0	root	_	_
5	'	_	''	''	_	4	punct	_	_
6	to	_	TO	TO	_	7	aux	_	_
7	eat	_	VB	VB	_	4	xcomp	_	_
8	a	_	DT	DT	_	9	det	_	_
9	piece	_	NN	NN	_	7	dobj	_	_
10	of	_	IN	IN	_	0	erased	_	_
11	pizza	_	NN	NN	_	9	prep_of	_	_
12	.	_	.	.	_	4	punct	_	_","['det$@%the$@%kid', 'xsubj$@%kid$@%eat', 'cop$@%be$@%fixin', 'root$@%fixin$@%VROOT', ""punct$@%'$@%fixin"", 'aux$@%to$@%eat', 'xcomp$@%eat$@%fixin', 'det$@%a$@%piece', 'dobj$@%piece$@%eat', 'erased$@%of$@%WORDERASED', 'prep_of$@%pizza$@%piece', 'punct$@%.$@%fixin']","['x$@%the$@%kid', 'x$@%kid$@%eat', 'x$@%be$@%fixin', 'x$@%fixin$@%VROOT', ""x$@%'$@%fixin"", 'x$@%to$@%eat', 'x$@%eat$@%fixin', 'x$@%a$@%piece', 'x$@%piece$@%eat', 'x$@%of$@%WORDERASED', 'x$@%pizza$@%piece', 'x$@%.$@%fixin']","['x$@%the$@%x', 'x$@%kid$@%x', 'x$@%be$@%x', 'x$@%fixin$@%x', ""x$@%'$@%x"", 'x$@%to$@%x', 'x$@%eat$@%x', 'x$@%a$@%x', 'x$@%piece$@%x', 'x$@%of$@%x', 'x$@%pizza$@%x', 'x$@%.$@%x']",0.93565028198059963,0.92970483604446696,0.41939857238576927
I02U-gNSC-p323-r1,Eat,0,0,0,0,0,"1	eat	_	VB	VB	_	0	root	_	_
2	.	_	.	.	_	1	punct	_	_","['root$@%eat$@%VROOT', 'punct$@%.$@%eat']","['x$@%eat$@%VROOT', 'x$@%.$@%eat']","['x$@%eat$@%x', 'x$@%.$@%x']",0.48229840905164412,0.52357847643019018,0.67914280876696387
I02U-gNSC-p323-r2,Food,0,0,0,0,0,"1	food	_	NN	NN	_	0	root	_	_
2	.	_	.	.	_	1	punct	_	_","['root$@%food$@%VROOT', 'punct$@%.$@%food']","['x$@%food$@%VROOT', 'x$@%.$@%food']","['x$@%food$@%x', 'x$@%.$@%x']",0.97575739606225342,0.97767976238698073,0.98375566929246538
I02U-gNSC-p324-r1,Tommy is eating pizza,1,1,1,1,0,"1	tommy	_	NNP	NNP	_	3	nsubj	_	_
2	be	_	VBZ	VBZ	_	3	aux	_	_
3	eat	_	VBG	VBG	_	0	root	_	_
4	pizza	_	NN	NN	_	3	dobj	_	_
5	.	_	.	.	_	3	punct	_	_","['nsubj$@%tommy$@%eat', 'aux$@%be$@%eat', 'root$@%eat$@%VROOT', 'dobj$@%pizza$@%eat', 'punct$@%.$@%eat']","['x$@%tommy$@%eat', 'x$@%be$@%eat', 'x$@%eat$@%VROOT', 'x$@%pizza$@%eat', 'x$@%.$@%eat']","['x$@%tommy$@%x', 'x$@%be$@%x', 'x$@%eat$@%x', 'x$@%pizza$@%x', 'x$@%.$@%x']",0.37194349364441348,0.38349629344097447,0.37359956329656063
I02U-gNSC-p324-r2,Pizza is Tommy's favorite food. ,0,0,1,0,0,"1	pizza	_	NNP	NNP	_	6	nsubj	_	_
2	be	_	VBZ	VBZ	_	6	cop	_	_
3	tommy	_	NNP	NNP	_	6	poss	_	_
4	's	_	POS	POS	_	0	erased	_	_
5	favorite	_	JJ	JJ	_	6	amod	_	_
6	food	_	NN	NN	_	0	root	_	_
