ResponseID,Response,Core,Answer,Gramm,Interp,Verif
I10T-gNSF-p142-r1,The baby is crying.,1,1,1,1,1
I10T-gNSF-p142-r2,The baby is having a tantrum.,1,1,1,1,1
I10T-gNSF-p145-r1,The baby is crying. ,1,1,1,1,1
I10T-gNSF-p145-r2,The baby is upset. ,1,0,1,1,1
I10T-gNSF-p146-r1,The baby is crying.,1,1,1,1,1
I10T-gNSF-p146-r2,The upset baby is shedding tears.,1,0,1,1,1
I10T-gNSF-p147-r1,The baby is crying. ,1,1,1,1,1
I10T-gNSF-p147-r2,The baby is wailing and carrying on. ,1,1,1,1,1
I10T-gNSF-p148-r1,The baby is crying.,1,1,1,1,1
I10T-gNSF-p148-r2,He is crying.,1,1,1,1,1
I10T-gNSF-p149-r1,The baby is bawling. ,1,1,1,1,1
I10T-gNSF-p149-r2,"The baby is crying with outstretched arms, perhaps hoping somebody will pick him/her up. ",1,1,1,1,1
I10T-gNSF-p150-r1,The baby is crying.,1,1,1,1,1
I10T-gNSF-p150-r2,The baby is feeling upset. ,1,1,1,1,1
I10T-gNSC-p152-r1,The baby appears to be crying,1,1,1,1,1
I10T-gNSC-p152-r2,"The baby appears to be crying, unhappy, and waiting to be picked up and held ",1,1,1,1,1
I10T-gNSC-p159-r1,The baby is crying.,1,1,1,1,1
I10T-gNSC-p159-r2,The baby is crying for mamma.,1,1,1,1,1
I10T-gNSC-p163-r1,Crying for food,1,1,1,1,0
I10T-gNSC-p163-r2,Having a temper tantrum.,1,1,1,1,1
I10T-gNSC-p168-r1,The baby is crying.,1,1,1,1,1
I10T-gNSC-p169-r1,the baby is crying,1,1,1,1,1
I10T-gNSC-p169-r2,the baby is wailing,1,1,1,1,1
I10T-gNSC-p170-r1,The baby is crying,1,1,1,1,1
I10T-gNSC-p170-r2,The baby is sitting alone,1,1,1,1,1
I10T-gNSC-p172-r2,eating ,1,1,1,1,0
I10T-gNSC-p174-r1,The baby is crying. ,1,1,1,1,1
I10T-gNSC-p174-r2,The baby is crying.,1,1,1,1,1
I10T-gNSC-p175-r1,The baby is crying.,1,1,1,1,1
I10T-gNSC-p175-r2,The baby wants to be picked up so it is crying.,1,1,1,1,1
I10T-gNSC-p176-r1,Cryings,1,1,0,1,1
I10T-gNSC-p177-r1,The baby is crying.,1,1,1,1,1
I10T-gNSC-p177-r2,The baby is having a tantrum.,1,1,1,1,1
I10T-gNSC-p181-r2,pooping,1,1,1,1,0
I10T-gNSC-p187-r1,The baby is crying.,1,1,1,1,1
I10T-gNSC-p187-r2,The baby is throwing a fit.,1,1,1,1,1
I10T-gNSC-p190-r1,The baby is crying.,1,1,1,1,1
I10T-gNSC-p190-r2,The infant is wailing.,1,1,1,1,1
I10T-gNSC-p192-r1,The baby is crying.,1,1,1,1,1
I10T-gNSC-p192-r2,The baby has tears.,1,1,1,1,1
I10T-gNSC-p199-r1,The baby is crying loudly.,1,1,1,1,1
I10T-gNSC-p199-r2,The baby is crying of his mommy.,1,1,0,1,1
I10T-gNSC-p202-r1,The baby is crying.,1,1,1,1,1
I10T-gNSC-p202-r2,The baby is shouting his lungs out.,1,1,1,1,1
I10T-gNSC-p209-r1,CRYING FOR FOOD,1,1,1,1,0
I10T-gNSC-p209-r2,THROWING A TANTRUM,1,1,1,1,1
I10T-gNSC-p211-r1,This baby is in need of food and comfort.,1,0,1,1,1
I10T-gNSC-p212-r1,He's blubbering. ,1,1,1,1,1
I10T-gNSC-p212-r2,He's crying. ,1,1,1,1,1
I10T-gNSC-p213-r1,The baby is crying. ,1,1,1,1,1
I10T-gNSC-p216-r1,the baby is crying,1,1,1,1,1
I10T-gNSC-p216-r2,the baby wants attention,1,0,1,1,1
I10T-gNSC-p217-r1,The baby is crying.,1,1,1,1,1
I10T-gNSC-p217-r2,The baby is bawling. ,1,1,1,1,1
I10T-gNSC-p220-r1,The baby is crying.,1,1,1,1,1
I10T-gNSC-p220-r2,The baby is hungry.,1,0,1,1,1
I10T-gNSC-p222-r1,Crying,1,1,1,1,1
I10T-gNSC-p222-r2,screaming crying,1,1,1,1,1
I10T-gNSC-p224-r1,The baby is crying.,1,1,1,1,1
I10T-gNSC-p224-r2,The baby is crying about something.,1,1,1,1,1
I10T-gNSC-p226-r1,The baby is crying,1,1,1,1,1
I10T-gNSC-p226-r2,This baby is unhappy,1,0,1,1,1
I10T-gNSC-p230-r1,The baby is crying. ,1,1,1,1,1
I10T-gNSC-p230-r2,The baby is hungry.,1,0,1,1,1
I10T-gNSC-p231-r1,The baby is crying.,1,1,1,1,1
I10T-gNSC-p231-r2,The baby is crying and reaching out. ,1,1,1,1,1
I10T-gNSC-p235-r1,The baby is crying.,1,1,1,1,1
I10T-gNSC-p235-r2,The young one is upset.,1,0,1,1,1
I10T-gNSC-p236-r1,The baby is crying. ,1,1,1,1,1
I10T-gNSC-p236-r2,He's crying,1,1,1,1,1
I10T-gNSC-p244-r1,The baby is crying. ,1,1,1,1,1
I10T-gNSC-p244-r2,The baby is screaming. ,1,1,1,1,1
I10T-gNSC-p245-r1,The baby is crying.,1,1,1,1,1
I10T-gNSC-p245-r2,It is bawling.,1,1,1,1,1
I10T-gNSC-p247-r1,The baby is crying.,1,1,1,1,1
I10T-gNSC-p247-r2,The baby is unhappy.,1,0,1,1,1
I10T-gNSC-p249-r1,The baby is crying.,1,1,1,1,1
I10T-gNSC-p249-r2,The baby is crying because she wants her bottle.,1,1,1,1,1
I10T-gNSC-p252-r1,crying,1,1,1,1,1
I10T-gNSC-p253-r1,crying,1,1,1,1,1
I10T-gNSC-p253-r2,laughing,1,1,1,1,0
I10T-gNSC-p254-r1,He is crying,1,1,1,1,1
I10T-gNSC-p254-r2,He is crying loudly,1,1,1,1,1
I10T-gNSC-p255-r1,The baby is balling.,1,1,0,1,1
I10T-gNSC-p257-r1,The baby is crying.,1,1,1,1,1
I10T-gNSC-p258-r2,he baby is throwing a crying tantrum.,1,1,0,1,1
I10T-gNSC-p260-r1,crying,1,1,1,1,1
I10T-gNSC-p261-r1,The baby is crying.,1,1,1,1,1
I10T-gNSC-p261-r2,This baby is whining. ,1,0,1,1,1
I10T-gNSC-p262-r1,This baby is crying,1,0,1,1,1
I10T-gNSC-p262-r2,This baby is screaming ,1,0,1,1,1
I10T-gNSC-p263-r1,The baby is crying.,1,1,1,1,1
I10T-gNSC-p263-r2,The baby is crying because it wants to be held.,1,1,1,1,1
I10T-gNSC-p264-r1,Crying,1,1,1,1,1
I10T-gNSC-p264-r2,The baby is upset,1,0,1,1,1
I10T-gNSC-p270-r1,She is crying.,1,1,1,1,1
I10T-gNSC-p270-r2,She is sitting and crying.,1,1,1,1,1
I10T-gNSC-p271-r1,The baby is crying. ,1,1,1,1,1
I10T-gNSC-p271-r2,The baby is wailing. ,1,1,1,1,1
I10T-gNSC-p274-r1,The baby is crying.,1,1,1,1,1
I10T-gNSC-p274-r2,The baby needs something and is crying.,1,1,1,1,1
I10T-gNSC-p276-r1,The baby is crying.,1,1,1,1,1
I10T-gNSC-p276-r2,He is upset.,1,1,1,1,1
I10T-gNSC-p277-r1,The baby is crying.,1,1,1,1,1
I10T-gNSC-p282-r1,The baby is crying. ,1,1,1,1,1
I10T-gNSF-p293-r1,The baby is crying.,1,1,1,1,1
I10T-gNSF-p293-r2,The baby is crying and screaming.,1,1,1,1,1
I10T-gNSF-p299-r1,The baby is crying.,1,1,1,1,1
I10T-gNSF-p299-r2,The baby is throwing a tantrum.,1,1,1,1,1
I10T-gNSF-p301-r1,The baby is crying.,1,1,1,1,1
I10T-gNSF-p301-r2,The baby is being annoying.,1,1,1,0,1
I10T-gNSF-p302-r1,The baby is crying.,1,1,1,1,1
I10T-gNSF-p302-r2,He is wailing.,1,1,1,1,1
I10T-gNSF-p303-r1,The baby is crying.,1,1,1,1,1
I10T-gNSF-p303-r2,He is wailing for his parents to come.,1,1,1,1,1
I10T-gNSF-p306-r1,The baby is crying.,1,1,1,1,1
I10T-gNSF-p306-r2,He is wailing. ,1,1,1,1,1
I10T-gNSF-p495-r1,The baby is crying.,1,1,1,1,1
I10T-gNSF-p495-r2,The baby is wailing.,1,1,1,1,1
I10T-gNSF-p496-r1,The infant is weeping.,1,0,1,1,1
I10T-gNSF-p496-r2,He is throwing the tantrum of a lifetime.,1,1,1,1,0
I10T-gNSF-p497-r1,The baby is crying.,1,1,1,1,1
I10T-gNSF-p497-r2,He's wailing.,1,1,1,1,1
