ResponseID,Response,Core,Answer,Gramm,Interp,Verif
I03U-gNNS-p004-r1,A man is giving a package to a woman.,1,1,1,1,1
I03U-gNNS-p005-r1,The woman is receiving a package from staff.,1,1,1,1,1
I03U-gNNS-p006-r1,The postman is delivering a package to a young office lady.,1,1,1,1,1
I03U-gNNS-p007-r1,the transporter is pass the package to the woman. ,1,1,0,1,1
I03U-gNNS-p009-r1,A boy is giving his teacher a gift.,0,1,1,1,0
I03U-gNNS-p012-r1,the clerk is receiving a package,1,1,1,1,1
I03U-gNNS-p013-r1,The poster is handing a package to a women who siting behind the desk. ,1,1,0,0,0
I03U-gNNS-p014-r1,A mailman is giving a woman package.,1,1,0,1,1
I03U-gNNS-p017-r1,The man gives the bag to the girl. ,0,0,1,1,0
I03U-gNNS-p021-r1,a man is delivering ,0,1,0,0,1
I03U-gNNS-p022-r1,The man is giving a box to the woman.,1,1,1,1,1
I03U-gNNS-p023-r1,The man give the woman package. ,1,0,0,1,1
I03U-gNNS-p026-r1,The receptionist is receiving a mail box from the delivering man.,1,1,1,1,1
I03U-gNNS-p027-r1,the girl just got a package from the mailman,1,0,1,1,1
I03U-gNNS-p028-r1,The lady is revive package,0,0,0,0,0
I03U-gNNS-p030-r1,The man is handing a box to the woman.,1,1,1,1,1
I03U-gNNS-p032-r1,A postman is sending a package to a woman.,0,1,1,1,0
I03U-gNNS-p034-r1,A man is passing a package to a woman,1,1,1,1,1
I03U-gNNS-p036-r1,The man is delivering a package to the woman.,1,1,1,1,1
I03U-gNNS-p037-r1,The man give the girl a baggage. ,0,0,0,1,0
I03U-gNNS-p038-r1,A lady receiving a package from a staff.,1,1,0,1,1
I03U-gNNS-p039-r1,The courier is giving the package to the woman.,1,1,1,1,1
I03U-gNNS-p040-r1,A postman is giving a package to a woman.,1,1,1,1,1
I03U-gNNS-p041-r1,The post-man is delivering a package to the woman in the front office,1,1,1,1,1
I03U-gNNS-p042-r1,The man is sending the package to the woman.,0,1,1,0,0
I03U-gNNS-p043-r1,The deliver gives a box to a woman.,1,0,0,0,0
I03U-gNNS-p044-r1,The man is giving a package to a woman.,1,1,1,1,1
I03U-gNNS-p051-r1,a boy is delivering a box to the woman,1,1,1,1,1
I03U-gNNS-p057-r1,A man is handing a mail box to a woman. ,1,1,1,1,1
I03U-gNNS-p058-r1,The mail carrier is handing a package to the lady. ,1,1,1,1,1
I03U-gNNS-p065-r1,A woman just received a mail box from a man.,1,0,1,1,1
I03U-gNNS-p066-r1,The man is delivering package. ,1,1,0,1,1
I03U-gNNS-p069-r1,A currier is delivering a package to a office girl ,1,1,1,1,0
I03U-gNNS-p070-r1,The man is giving a package to a woman.,1,1,1,1,1
I03U-gNNS-p072-r1,The mailman is handing a package to a woman,1,1,1,1,1
I03U-gNNS-p074-r1,A man with a cap is giving a box to a lady.,1,1,1,1,1
I03U-gNNS-p075-r1,The girl is receiving a thing from that man. ,0,1,1,0,1
I03U-gNNS-p077-r1,The mailman is giving the mail to the woman. ,1,1,1,1,1
I03U-gNNS-p078-r1,The man is delivering a package to a woman.,1,1,1,1,1
I03U-gNNS-p079-r1,The postman is delivering the delivery to the woman,1,1,1,1,1
I03U-gNNS-p081-r1,the post man is delivering the box to the woman,1,1,1,1,1
I03U-gNNS-p082-r1,The man is giving a package to the woman.,1,1,1,1,1
I03U-gNNS-p083-r1,The boy is returning a book to the center desk. ,0,1,1,1,0
I03U-gNNS-p086-r1,The poster is giving a box to the woman.,1,1,0,0,0
I03U-gNNS-p087-r1,a woman is claiming her package ,0,1,1,1,1
I03U-gNNS-p099-r1,A woman is accepting a gift from a man.,0,1,1,1,0
I03U-gNNS-p101-r1,The man is giving present to the woman.,0,1,0,1,0
I03U-gNNS-p104-r1,A man is giving a package to a woman.,1,1,1,1,1
I03U-gNNS-p105-r1,The post man is giving a package to a woman.,1,1,1,1,1
I03U-gNNS-p106-r1,The woman is receiving the package from the boy.,1,1,1,1,1
I03U-gNNS-p107-r1,The postman is handing a package to the young woman who sits behind the reception desk.,1,1,1,1,1
I03U-gNNS-p108-r1,The female clerk is getting a box from a express worker,1,1,0,1,1
I03U-gNNS-p109-r1,The man is giving a package to the lady. ,1,1,1,1,1
I03U-gNNS-p111-r1,A postman is handing the post box to a woman.,1,1,1,1,1
I03U-gNNS-p112-r1,The man is giving the woman the package. ,1,1,1,1,1
I03U-gNNS-p114-r1,The man is sending a gift to a girl.,0,1,1,1,0
I03U-gNNS-p116-r1,The girl was received the grift ,0,0,0,0,0
I03U-gNNS-p118-r1,The delivery man is sending the woman her belonging.,0,1,1,0,0
I03U-gNNS-p119-r1,The boy gives the girl a gift for marry proposal.,0,0,0,1,0
I03U-gNNS-p122-r1,A mail carrier is delivering a box to a woman. ,1,1,1,1,1
I03U-gNNS-p123-r1,The man is passing the package to the woman,1,1,1,1,1
I03U-gNNS-p124-r1,he is delivering a package for the woman,1,1,1,1,1
I03U-gNNS-p125-r1,The delivery man is falling love with the girl while delivering.,0,1,0,0,0
I03U-gNNS-p127-r1,The deliver man is handing a package to the woman.,1,1,1,1,1
I03U-gNNS-p128-r1,The mailman is giving a mailbox. ,0,1,0,0,0
I03U-gNNS-p133-r1,The postal man is giving the woman a package. ,1,1,1,1,1
I03U-gNNS-p135-r1,Woman is collecting a mail from the delivery boy.,1,1,0,1,1
I03U-gNNS-p136-r1,The man is passing a package to a woman.,1,1,1,1,1
I03U-gNNS-p140-r1,The postman is giving the packet to the girl. ,1,1,1,1,1
I03U-gNNS-p141-r1,The woman is getting package,1,1,0,1,1
