Source,Response,A1,A2
I01T_Interp,the boy is dancing to the music,1,1
I01T_Interp,the boy is dancing,1,1
I01T_Interp,the boy is really enjoying the party,0,0
I01T_Interp,he is dancing to music,1,1
I01T_Interp,he is dancing,1,1
I01T_Interp,dancing to music,1,1
I01T_Interp,fcx,0,0
I01T_Interp,the boy is listening to music,1,1
I01T_Interp,the happy boy is smiling as he dances,1,1
I01T_Interp,this boy is dancing vigorously,1,1
I01T_Interp,the boy is listening to his favorite song,1,1
I01T_Interp,he is listening to music,1,1
I01T_Interp,the boy is dancing to music,1,1
I01T_Interp,dancing,1,1
I01T_Interp,he is doing a happy dance,1,1
I01T_Interp,clebrating a great report card,0,0
I01T_Interp,this boy is dancing,1,1
I01T_Interp,i think this boy likes music,0,0
I01T_Interp,the boy is having a good time,0,0
I01T_Interp,he is dancing to the music,1,1
I01T_Interp,grooving to music,1,1
I01T_Interp,how the hell should i know,0,0
I01T_Interp,the boy is listening to music and dancing,1,1
I01T_Interp,the boy is singing,1,1
I01T_Interp,he is enjoying his music,0,0
I01T_Interp,having fun,0,0
I01T_Interp,he is a dancing machine,1,1
I01T_Interp,he's dancing to music,1,1
I01T_Interp,a child is having fun,0,0
I01T_Interp,the boy is jiving,1,1
I01T_Interp,exercising to music,0,0
I01T_Interp,the boy is having fun,0,0
I01T_Interp,the boy has music in his bones,0,0
I01T_Interp,he enjoys dancing to music,1,1
I01T_Interp,the boy is celebrating,0,0
I01T_Interp,the kid is grooving,1,1
I01T_Interp,the boy is dancing a jig,1,1
I01T_Interp,the boy is enjoying himself,0,0
I01T_Interp,he's rocking out,0,0
I01T_Interp,he's grooving,1,1
I01T_Interp,this boy is enjoying the music,0,0
I01T_Interp,this boy enjoys dancing to his favorite tune,1,1
I01T_Interp,getting his groove on,0,0
I01T_Interp,this boy appears to be dancing,1,1
I01T_Interp,this man appears to be dancing because he is happy,1,1
I01T_Interp,the boy is dancing happily,1,1
I01T_Interp,the boy is listening to music while happily dancing,1,1
I01T_Interp,he's dancing,1,1
I01T_Interp,the boy is getting down,0,0
I01T_Interp,danceing,1,1
I01T_Interp,singing,1,1
I01T_Interp,the music is enticing the boy to dance,1,1
I01T_Interp,the boy is dancing to the rythm,1,1
I01T_Interp,he's doing a happy dance,1,1
I01T_Interp,he's enjoying the song,0,0
I01T_Interp,have fun,0,0
I01T_Interp,do dance,1,1
I01T_Interp,the lad is dancing,1,1
I01T_Interp,the young man is joyous,1,1
I01T_Interp,the boy likes music,0,0
I01T_Interp,he is singing,1,1
I01T_Interp,enjoying music,0,0
I01T_Interp,he is dacing,0,0
I01T_Interp,he is having a good time,0,0
I01T_Interp,the boy appears to be dancing,1,1
I01T_Interp,the boy appears to be moving his body in time to music,1,1
I01T_Interp,the boy is dancing with the music,1,1
I01T_Interp,the boy is dancing by following the music,1,1
I01T_Interp,the boy is dancing with music,1,1
I01T_Interp,the boy is singing and dancing,1,1
I01T_Interp,the boy is dancing and singing,1,1
I01T_Interp,a boy is dancing with music,1,1
I01T_Interp,dancing with music,1,1
I01T_Interp,this boy is dancing with music,1,1
I01T_Interp,he is singing and dancing,1,1
I01T_Interp,a boy is dancing,1,1
I01T_Interp,the man is dancing with music,1,1
I01T_Interp,the boy is dancing accompanying with music,1,1
I01T_Interp,the boy is playing with music,0,0
I01T_Interp,the boy is dancing along the music,1,1
I01T_Interp,a young man is dancing with the music on,1,1
I01T_Interp,a young boy is dancing along with music,1,1
I01T_Interp,the boy is singing songs,1,1
I01T_Interp,the smiling boy is dancing with music,1,1
I01T_Interp,the boy dances with music on,1,1
I01T_Interp,he is dancing and singing,1,1
I01T_Interp,a boy is dancing along with music,1,1
I01T_Interp,the young man has become filled with the joy of music and he flails to its rhythm,1,1
I01T_Interp,he is having a seizure,1,1
I01T_Interp,he is moving to the music,1,1
I01T_Interp,the boy is one with the music,0,0
I01T_Interp,he is enjoying music,0,0
I01T_Interp,the boy is partying,0,0
I01T_Interp,the young man is dancing,1,1
I01T_Interp,the boy is grooving to the music,1,1
I01T_Interp,the boy is totally jamming out,1,1
I01T_Interp,a boy is moving to the beat of music,1,1
I01U_Interp,the boy is dancing to the music,1,1
I01U_Interp,the music is making the boy want to dance,1,1
I01U_Interp,a young male is dancing,1,1
I01U_Interp,a boy is moving to music,1,1
I01U_Interp,the boy is dancing,1,1
I01U_Interp,the boy likes music,0,0
I01U_Interp,the boy is listening to music,1,1
I01U_Interp,the boy is singing a song,1,1
I01U_Interp,a guy is dancing,1,1
I01U_Interp,a guy is singing,1,1
I01U_Interp,the young boy is dancing to music,1,1
I01U_Interp,the music makes the young boy smile,1,1
I01U_Interp,a boy is dancing to music,1,1
I01U_Interp,the music makes the boy dance,1,1
I01U_Interp,an adolescent is dancing merrily to some music,1,1
I01U_Interp,the music is stirring up the man's exhilaration to exercise to the rhythm,0,0
I01U_Interp,the boy is dancing to music,1,1
I01U_Interp,music fills the air and makes the boy happy,1,1
I01U_Interp,the teen is dancing to music,1,1
I01U_Interp,the boy is happy,1,1
I01U_Interp,dancing with a boy,0,0
I01U_Interp,stoner,0,0
I01U_Interp,music is playing,1,1
I01U_Interp,"while music plays, the boy dances",1,1
I01U_Interp,this boy dances to music,1,1
I01U_Interp,the music inspires this boy to dance,1,1
I01U_Interp,music moves a young man's feet,1,1
I01U_Interp,"while listening to music, a boy is moving to the beat",1,1
I01U_Interp,music is inspiring a boy to move,1,1
I01U_Interp,the boy is jamming to some music,1,1
I01U_Interp,the boy is dancing like no one is watching,1,1
I01U_Interp,a young man in dancing,1,1
I01U_Interp,the young man dances,1,1
I01U_Interp,music is playing and a boy is dancing,1,1
I01U_Interp,a boy is dancing to some music,1,1
I01U_Interp,the music is causing the boy to dance,1,1
I01U_Interp,a boy is enjoying music,0,0
I01U_Interp,the guy is dancing to music,1,1
I01U_Interp,he is doing a happy dance to the music,1,1
I01U_Interp,a little boy is dancing to some music he enjoys,1,1
I01U_Interp,the little boy is dancing to enjoyable music and is having fun,1,1
I01U_Interp,he is dancing,1,1
I01U_Interp,having a great time,0,0
I01U_Interp,a teenager is rocking out,0,0
I01U_Interp,young man is dancing to music,1,1
I01U_Interp,music is playing and a man is dancing,1,1
I01U_Interp,there is music playing and the boy is dancing to it,1,1
I01U_Interp,a boy is listening and dancing to music,1,1
I01U_Interp,dancing,0,0
I01U_Interp,music playing,1,1
I01U_Interp,he is listening to music,1,1
I01U_Interp,boy dancing,1,1
I01U_Interp,happy boy,0,0
I01U_Interp,a man is dancing to music,1,1
I01U_Interp,a riling beat is moving a man to dance,1,1
I01U_Interp,"a boy is dancing, while listening to music",1,1
I01U_Interp,"music is playing, while a boy is dancing",1,1
I01U_Interp,music is playing and a boy is dancing to it,1,1
I01U_Interp,there is a boy dancing to music,1,1
I01U_Interp,a boy is getting lost in some music,1,1
I01U_Interp,a preteen boy is dancing to contemporary music,1,1
I01U_Interp,a boy in a blu shirt and gray pants is dancing,1,1
I01U_Interp,a boy is dancing,1,1
I01U_Interp,a blonde boy is dancing to music,1,1
I01U_Interp,the music makes the boy happy and he dances,1,1
I01U_Interp,boy is dancing to music,1,1
I01U_Interp,music is being played so boy can dance,1,1
I01U_Interp,a boy enjoys music,0,0
I01U_Interp,this is a man dancing to music,1,1
