Source,Response,A1,A2
I29T_Answer,holding,1,0
I29T_Answer,The woman loves her dog.,0,1
I29T_Answer,The lady is hugging the fluffy dog.,1,0
I29T_Answer,The woman loves her dog.,0,1
I29T_Answer,The woman is hanging a dog,0,1
I29T_Answer,The woman loves her dog,0,1
I29T_Answer,She is happy that she has a dog to hug.,1,0
I29T_Core,The woman is loving her dog.,0,1
I29T_Core,The woman is holding some unidentifiable furry beast.,0,1
I29T_Core,The dog is enjoying being held by the woman. ,1,0
I29T_Core,The woman is holding her pet.,0,1
I29T_Core,Giving her dog some loves.,0,1
I29T_Core,The woman is playing with her dog. ,1,0
I29T_Core,The woman is happy holding her pet.,0,1
I29T_Core,The woman is cuddling with her pet.,0,1
I29T_Core,The woman is playing with her dog.,1,0
I29T_Core,The woman is happy that she has a dog to hug,1,0
I29T_Core,The woman is loving her dog.,0,1
I29T_Core,The woman is cuddling with her pet.,0,1
I29T_Core,She is hugging a pet in her arms.,0,1
I29T_Core,The woman  is holding a pet. ,0,1
I29T_Core,A women is holding his lovely dog and smiling happy.,0,1
I29T_Core,The woman is hanging a pet.,0,1
I29T_Core,The woman is playing with her dog.,1,0
I29T_Core,She is holding his pet,0,1
I29T_Core,The woman is loving her dog,0,1
I29T_Core,She is loving her pet.,0,1
I29T_Core,She is happy that she has a dog to hug.,1,0
I29T_Gramm,"I love hugs, Ruff, Ruff.",1,0
I29T_Gramm,Boy you feel furry.,1,0
I29T_Gramm,Woman is cuddling her puppy,1,0
I29T_Gramm,She is squeezing her pup in love.,1,0
I29T_Gramm,Woman holds a cat ,0,1
I29T_Interp,loving her furby.,1,0
I29T_Interp,The woman is enjoying the company of her dog.,0,1
I29T_Interp,ENJOYING THE COMPANIONSHIP OF HER 4 LEGGED FRIEND,1,0
I29T_Interp,She is enjoying the dog.,1,0
I29T_Interp,She is conveying pleasure.,1,0
I29T_Interp,The dog loves the woman.,1,0
I29T_Interp,"After Princess ate her prize orchid, Sally decided to break its neck.",0,1
I29T_Interp,The women is holding the little dog.,0,1
I29T_Interp,She is hugging a pet in her arms.,0,1
I29T_Interp,The woman  is holding a pet. ,0,1
I29T_Interp,A women is holding his lovely dog and smiling happy.,0,1
I29T_Interp,The woman is putting a dog in front of her body.,1,0
I29T_Interp,The woman is hanging a pet.,0,1
I29T_Interp,The woman is hanging her pet.,0,1
I29T_Verif,Getting hair all over her dress.,1,0
I29T_Verif,The women in the blue dress is cuddling with the puppy.,1,0
I29T_Verif,The woman is cuddling her dog after coming home.,1,0
I29T_Verif,The woman is babysitting the dog,1,0
I29T_Verif,The woman is holding her cat with joy. ,0,1
I29T_Verif,The woman is holding the pat.,1,0
