ResponseID,Response,Core,Answer,Gramm,Interp,Verif
I05T-gNSF-p142-r1,The teacher is teaching the boy math.,1,1,1,1,1
I05T-gNSF-p142-r2,The teacher is giving a math lesson to a student.,1,1,1,1,1
I05T-gNSF-p145-r1,The teacher is giving a math lesson. ,1,1,1,1,1
I05T-gNSF-p145-r2,She is teaching math.,1,1,1,1,1
I05T-gNSF-p146-r1,The teacher is teaching math to a student.,1,1,1,1,1
I05T-gNSF-p146-r2,Math is being taught to the student by the teacher.,1,0,1,1,1
I05T-gNSF-p147-r1,The teacher is teaching the student. ,0,1,1,1,1
I05T-gNSF-p147-r2,The teacher is teaching the student math. ,1,1,1,1,1
I05T-gNSF-p148-r1,She is teaching math.,1,1,1,1,1
I05T-gNSF-p148-r2,She is pointing at a problem.,0,1,1,0,1
I05T-gNSF-p149-r1,The teacher appears to be teaching simple math to young children. ,1,1,1,1,1
I05T-gNSF-p149-r2,The teacher is presenting some simple math problems to a student. ,1,1,1,1,1
I05T-gNSF-p150-r1,The teacher is teaching math. ,1,1,1,1,1
I05T-gNSF-p150-r2,The teacher is demonstrating addition and subtraction.,1,1,1,1,1
I05T-gNSC-p152-r1,The teacher appears to be teaching a solitary student how to add and subtract,1,1,1,1,1
I05T-gNSC-p152-r2,The teacher appears to be pointing to the number 2,0,1,1,1,1
I05T-gNSC-p153-r1,Teaching math ,1,1,1,1,1
I05T-gNSC-p153-r2,To her student ,0,0,0,0,0
I05T-gNSC-p159-r1,The teacher is teaching the student..,0,1,1,1,1
I05T-gNSC-p159-r2,The teacher is reviewing math with a student. ,1,1,1,1,1
I05T-gNSC-p162-r1,Teaching ,0,1,1,0,1
I05T-gNSC-p162-r2,Addressing the class,0,1,1,1,1
I05T-gNSC-p163-r1,She is teaching a math problem,1,1,1,1,1
I05T-gNSC-p163-r2,She is asking the student if the answers are correct,0,1,1,1,0
I05T-gNSC-p168-r1,The teacher is instructing the student. ,0,1,1,1,1
I05T-gNSC-p168-r2,The student is being taught a math lesson.,0,1,1,0,1
I05T-gNSC-p169-r1,the teacher is teaching arithmetic,1,1,1,1,1
I05T-gNSC-p169-r2,the teacher is teaching the pupil,0,1,1,1,1
I05T-gNSC-p170-r1,The teacher is holding a pointer,0,1,1,1,1
I05T-gNSC-p170-r2,The teacher is teaching math.,1,1,1,1,1
I05T-gNSC-p171-r1,The teacher is reviewing math problems.,1,1,1,1,1
I05T-gNSC-p171-r2,The teachers in instructing math.,1,0,0,1,1
I05T-gNSC-p172-r1,meth,0,1,0,0,0
I05T-gNSC-p172-r2,sit,0,0,0,0,0
I05T-gNSC-p173-r1,She is tutoring the boy in arithmetic. ,1,1,1,1,1
I05T-gNSC-p173-r2,She is leading a math class,1,1,1,1,1
I05T-gNSC-p174-r1,The teacher is teaching a student how to add 2+2=4 and 8-6=2.,1,1,1,1,1
I05T-gNSC-p174-r2,The teacher is teaching a student how to add 2+2=4 and 8-6=2.,1,1,1,1,1
I05T-gNSC-p175-r1,The teacher is explaining math facts.,1,1,1,1,1
I05T-gNSC-p175-r2,The teacher wrote examples of math facts.,0,0,1,1,1
I05T-gNSC-p176-r1,Teaching,0,1,1,0,1
I05T-gNSC-p176-r2,Marg,0,0,0,0,0
I05T-gNSC-p177-r1,The teacher is teaching math.,1,1,1,1,1
I05T-gNSC-p177-r2,She is demonstrating math problems.,1,1,1,1,1
I05T-gNSC-p181-r1,looking good,0,1,1,0,0
I05T-gNSC-p181-r2,thinking about how dumb that kid is.,0,1,1,0,0
I05T-gNSC-p187-r1,She's teaching arithmetic.,1,1,1,1,1
I05T-gNSC-p187-r2,She's a math tutor.,0,0,1,1,1
I05T-gNSC-p190-r1,The teacher is teaching math.,1,1,1,1,1
I05T-gNSC-p190-r2,She is teaching a student.,0,1,1,1,1
I05T-gNSC-p192-r1,The teacher is teaching math.,1,1,1,1,1
I05T-gNSC-p192-r2,The boy is learning math.,0,0,1,1,1
I05T-gNSC-p199-r1,The teacher is teaching the boy how to add. ,1,1,1,1,1
I05T-gNSC-p199-r2,The boy is learning how to add by the teacher.,1,0,0,1,1
I05T-gNSC-p202-r1,She is teaching math.,1,1,1,1,1
I05T-gNSC-p202-r2,The teacher is asking a question.,0,1,1,1,1
I05T-gNSC-p204-r1,This woman is teaching math to the boy.,1,0,1,1,1
I05T-gNSC-p204-r2,The teacher is presenting math problems ,1,1,1,1,1
I05T-gNSC-p209-r1,POINTING TO THE BOARD,0,1,1,1,1
I05T-gNSC-p209-r2,SHOWING MATH PROBLEMS,1,1,1,1,1
I05T-gNSC-p211-r1,This instructor is teaching very basic math. ,1,1,1,1,1
I05T-gNSC-p211-r2,This teacher needs to improve her educational methods.,0,0,1,0,0
I05T-gNSC-p212-r1,She's showing them how to do the assignment. . ,0,1,1,1,0
I05T-gNSC-p212-r2,She's teaching a class. ,0,1,1,1,1
I05T-gNSC-p213-r1,The teacher is going over the boy's math.,1,1,1,1,1
I05T-gNSC-p213-r2,The teacher is teaching a class in arithmetic.,1,1,1,1,1
I05T-gNSC-p215-r1,The teacher is teaching.,0,1,1,0,1
I05T-gNSC-p215-r2,She is teaching her students addition and subtraction.,1,1,1,1,1
I05T-gNSC-p216-r1,writing on the black board,0,1,1,1,0
I05T-gNSC-p216-r2,telling student what she wrote on the black board,0,1,0,1,1
I05T-gNSC-p217-r1,The teacher is teaching math.,1,1,1,1,1
I05T-gNSC-p217-r2,The math teacher is giving a lesson.,1,0,1,1,1
I05T-gNSC-p220-r1,The teacher is teaching.,0,1,1,0,1
I05T-gNSC-p220-r2,The teacher is pointing to the chalkboard.,0,1,1,1,1
I05T-gNSC-p222-r1,Teaching ,0,1,1,0,1
I05T-gNSC-p222-r2,Teaching Math,1,1,1,1,1
I05T-gNSC-p224-r1,She teaches math.,1,0,1,1,1
I05T-gNSC-p224-r2,She explains a math problem on the board.,1,0,1,1,1
I05T-gNSC-p226-r1,The teacher is teaching,0,1,1,0,1
I05T-gNSC-p226-r2,The boy is learning,0,0,1,0,1
I05T-gNSC-p230-r1,The teacher is teaching arithmetic.,1,1,1,1,1
I05T-gNSC-p230-r2,The teacher is explaining math.,1,1,1,1,1
I05T-gNSC-p231-r1,Teaching math.,1,1,1,1,1
I05T-gNSC-p231-r2,Teaching math to a boy. ,1,1,1,1,1
I05T-gNSC-p234-r1,The teacher is teaching math,1,1,1,1,1
I05T-gNSC-p234-r2,The boy is listening to the teacher,0,0,1,1,1
I05T-gNSC-p235-r1,The teacher is teaching.,0,1,1,0,1
I05T-gNSC-p235-r2,The woman is helping the child learn.,0,0,1,1,1
I05T-gNSC-p236-r1,The teacher is going over math. ,1,1,1,1,1
I05T-gNSC-p236-r2,The woman is teaching the kids math. ,1,0,1,1,1
I05T-gNSC-p237-r1,The teacher is teaching math. ,1,1,1,1,1
I05T-gNSC-p237-r2,She is teaching the boy math. ,1,1,1,1,1
I05T-gNSC-p239-r1,The teacher is teaching,0,1,1,0,1
I05T-gNSC-p239-r2,The teacher is standing in front of the chalkboard,0,1,1,1,1
I05T-gNSC-p244-r1,The teacher is explaining addition and subtraction. ,1,1,1,1,1
I05T-gNSC-p244-r2,The teacher is helping the student with math. ,1,1,1,1,1
I05T-gNSC-p245-r1,She is teaching a lesson.,0,1,1,0,1
I05T-gNSC-p245-r2,The teacher is explaining math problems to her class.,1,1,1,1,1
I05T-gNSC-p247-r1,The teacher is teaching a math lesson.,1,1,1,1,1
I05T-gNSC-p247-r2,The teacher is asking for the student's attention.,0,1,1,1,1
I05T-gNSC-p249-r1,The teacher is showing a math problem.,1,1,1,1,1
I05T-gNSC-p249-r2,The teacher is showing the student how to do the math problem.,1,1,1,1,1
I05T-gNSC-p252-r1,writing on blackboard,0,1,0,1,0
I05T-gNSC-p253-r1,teaching math,1,1,1,1,1
I05T-gNSC-p253-r2,grading a math answer,0,1,1,1,0
I05T-gNSC-p254-r1,She is teaching math,1,1,1,1,1
I05T-gNSC-p254-r2,She is teaching one student ,0,1,1,1,1
I05T-gNSC-p255-r1,The teacher is teaching math,1,1,1,1,1
I05T-gNSC-p255-r2,The student is bored,0,0,1,1,0
I05T-gNSC-p257-r1,The teacher is explaining a math problem.,1,1,1,1,1
I05T-gNSC-p257-r2, The lady teacher is explaining Arithmetic.,1,0,1,1,1
I05T-gNSC-p258-r1,The teacher is explaining an arithmetic problem.,1,1,1,1,1
I05T-gNSC-p258-r2,The teacher is tutoring her student in arithmetic.,1,1,1,1,1
I05T-gNSC-p260-r1,writing on blackboard,0,1,0,1,0
I05T-gNSC-p261-r1,This teacher is teaching math.,1,0,1,1,1
I05T-gNSC-p261-r2,This math teacher is teaching addition and subtraction. ,1,0,1,1,1
I05T-gNSC-p262-r1,She is teaching her student mathematics,1,1,1,1,1
I05T-gNSC-p262-r2,She is using a math example to teach math to her pupil,1,1,1,1,1
I05T-gNSC-p263-r1,The teacher is conducting a math class. ,1,1,1,1,1
I05T-gNSC-p263-r2,The teacher is reviewing math problems with the student as test prep. ,1,1,1,1,1
I05T-gNSC-p264-r1,Addition and subtraction,0,1,1,1,1
I05T-gNSC-p264-r2,The teacher is teaching the student math.,1,1,1,1,1
I05T-gNSC-p266-r1,A teacher is instructing a student in math. ,1,0,1,1,1
I05T-gNSC-p266-r2,A woman is teaching a young boy math on a blackboard. ,1,0,1,1,1
I05T-gNSC-p270-r1,She is teaching.,0,1,1,0,1
I05T-gNSC-p270-r2,She is explaining addition and subtraction to a student ,1,1,1,1,1
I05T-gNSC-p271-r1,The teacher is teaching math. ,1,1,1,1,1
I05T-gNSC-p271-r2,The teacher is instructing in math. ,1,1,0,1,1
I05T-gNSC-p272-r1,Yhcn,0,0,0,0,0
I05T-gNSC-p272-r2,Kekdkd,0,0,0,0,0
I05T-gNSC-p274-r1,The teacher is teaching math.,1,1,1,1,1
I05T-gNSC-p274-r2,The teacher has written examples on the blackboard.,0,0,1,1,1
I05T-gNSC-p276-r1,The teacher is teaching math.,1,1,1,1,1
I05T-gNSC-p276-r2,She is instructing her students in arithmetic ,1,1,1,1,1
I05T-gNSC-p277-r1,The teacher is pointing to black board,0,1,0,1,1
I05T-gNSC-p277-r2,The teacher is wondering if the students notice her strabismus?,0,1,1,0,0
I05T-gNSC-p282-r1,The teacher is teaching a math lesson.,1,1,1,1,1
I05T-gNSC-p282-r2,The student is learning math.,0,0,1,1,1
I05T-gNSF-p293-r1,The teacher is teaching math to a student.,1,1,1,1,1
I05T-gNSF-p293-r2,She is pointing to the math problems on the board.,0,1,1,1,1
I05T-gNSF-p299-r1,The teacher is teaching math.,1,1,1,1,1
I05T-gNSF-p299-r2,The teacher is explaining.,0,1,1,0,1
I05T-gNSF-p301-r1,The teacher is teaching math.,1,1,1,1,1
I05T-gNSF-p301-r2,The teacher is educating at least one child.,0,1,1,1,1
I05T-gNSF-p302-r1,She is teaching the students math.,1,1,1,1,1
I05T-gNSF-p302-r2,She is instructing the class on arithmetic.,1,1,1,1,1
I05T-gNSF-p303-r1,The teacher is teaching math.,1,1,1,1,1
I05T-gNSF-p303-r2,She is showing the student calculations.,1,1,1,1,1
I05T-gNSF-p306-r1,She is teaching a student.,0,1,1,1,1
I05T-gNSF-p306-r2,The teacher is pointing to the chalk board.,0,1,1,1,1
I05T-gNSF-p495-r1,The teacher is teaching math.,1,1,1,1,1
I05T-gNSF-p495-r2,She is teaching a lesson.,0,1,1,0,1
I05T-gNSF-p496-r1,The teacher is teaching the student basic math.,1,1,1,1,1
I05T-gNSF-p496-r2,She is tutoring the boy but he is distracted by her hotness.,0,1,1,1,0
I05T-gNSF-p497-r1,She's teaching math.,1,1,1,1,1
I05T-gNSF-p497-r2,She's teaching arithmetic.,1,1,1,1,1
