Source,Response,A1,A2
I01U_Gramm,dancing with a boy,1,0
I01U_Gramm,a young man in dancing,0,1
I01U_Gramm,young man is dancing to music,1,0
I01U_Gramm,a person enjoying listening to music,1,0
I01U_Gramm,the boy listening to music,0,1
I01U_Gramm,music has taken over this boys body,1,0
I01U_Gramm,the young man and dancing to the music,0,1
I01U_Gramm,the young man having a good time dancing to the song,0,1
I01U_Gramm,a boy is dancing along the music,0,1
I01U_Gramm,a boy listens to music and dancing,1,0
I01U_Gramm,the boy who in blue is dancing,0,1
I01U_Gramm,"the man is singing and dancing, because he is happy",1,0
