ResponseID,Response,Core,Answer,Gramm,Interp,Verif
I09T-gNSF-p142-r1,The girl is riding a horse.,1,1,1,1,1
I09T-gNSF-p142-r2,The girl is riding on a pony.,1,1,1,1,1
I09T-gNSF-p145-r1,She is riding a horse. ,1,1,1,1,1
I09T-gNSF-p145-r2,The girl is horseback riding. ,1,1,1,1,1
I09T-gNSF-p146-r1,The girl is riding the horse.,1,1,1,1,1
I09T-gNSF-p146-r2,The girl is trotting on a horse.,1,1,1,1,1
I09T-gNSF-p147-r1,The girl is riding a horse. ,1,1,1,1,1
I09T-gNSF-p147-r2,The girl is riding the horse. ,1,1,1,1,1
I09T-gNSF-p148-r1,The girl is riding a horse.,1,1,1,1,1
I09T-gNSF-p148-r2,The girl is on a horse.,1,0,1,1,1
I09T-gNSF-p149-r1,The girl is riding a horse. ,1,1,1,1,1
I09T-gNSF-p149-r2,The girl is enjoying a horseback ride while wearing a full jockey uniform. ,1,1,1,1,1
I09T-gNSF-p150-r1,The girl is riding a horse. ,1,1,1,1,1
I09T-gNSF-p150-r2,The girl is horseback riding. ,1,1,1,1,1
I09T-gNSF-p293-r1,The girl is riding on the horse.,1,1,1,1,1
I09T-gNSF-p293-r2,She is trotting the horse.,1,1,1,1,1
I09T-gNSF-p299-r1,The girl is riding a horse.,1,1,1,1,1
I09T-gNSF-p299-r2,The girl is on horseback.,1,0,1,1,1
I09T-gNSF-p301-r1,The girl is riding a horse.,1,1,1,1,1
I09T-gNSF-p301-r2,The girl is training to become a jockey.,0,1,1,1,0
I09T-gNSF-p302-r1,The girl is riding a horse.,1,1,1,1,1
I09T-gNSF-p302-r2,The girl is practicing equestrian.,1,1,1,1,1
I09T-gNSF-p303-r1,The girl is riding her pony.,1,1,1,1,1
I09T-gNSF-p303-r2,She is exploring the park with her dear horse.,0,1,1,1,0
I09T-gNSF-p306-r1,The girl is riding her horse.,1,1,1,1,1
I09T-gNSF-p306-r2,She is galloping away.,0,1,1,0,1
I09T-gNSF-p495-r1,She is riding a horse.,1,1,1,1,1
I09T-gNSF-p495-r2,The girl is taking part in a dressage event.,0,1,1,1,1
I09T-gNSF-p496-r1,The girl is riding a skeptical horse.,1,1,1,1,1
I09T-gNSF-p496-r2,She is taking horseback riding lessons.,0,1,1,1,0
I09T-gNSF-p497-r1,She's riding a horse.,1,1,1,1,1
I09T-gNSF-p497-r2,She's horseback riding.,1,1,1,1,1
