ResponseID,Response,Core,Answer,Gramm,Interp,Verif
I10T-gNSC-p152-r1,The baby appears to be crying,1,1,1,1,1
I10T-gNSC-p152-r2,"The baby appears to be crying, unhappy, and waiting to be picked up and held ",1,1,1,1,1
I10T-gNSC-p159-r1,The baby is crying.,1,1,1,1,1
I10T-gNSC-p159-r2,The baby is crying for mamma.,1,1,1,1,1
I10T-gNSC-p163-r1,Crying for food,1,1,1,1,0
I10T-gNSC-p163-r2,Having a temper tantrum.,1,1,1,1,1
I10T-gNSC-p168-r1,The baby is crying.,1,1,1,1,1
I10T-gNSC-p168-r2,The baby is hungry and letting everyone know.,1,1,1,0,0
I10T-gNSC-p169-r1,the baby is crying,1,1,1,1,1
I10T-gNSC-p169-r2,the baby is wailing,1,1,1,1,1
I10T-gNSC-p170-r1,The baby is crying,1,1,1,1,1
I10T-gNSC-p170-r2,The baby is sitting alone,1,1,1,1,1
I10T-gNSC-p172-r1,cry,1,0,0,1,1
I10T-gNSC-p172-r2,eating ,1,1,1,1,0
I10T-gNSC-p174-r1,The baby is crying. ,1,1,1,1,1
I10T-gNSC-p174-r2,The baby is crying.,1,1,1,1,1
I10T-gNSC-p175-r1,The baby is crying.,1,1,1,1,1
I10T-gNSC-p175-r2,The baby wants to be picked up so it is crying.,1,1,1,1,1
I10T-gNSC-p176-r1,Cryings,1,1,0,1,1
I10T-gNSC-p176-r2,Wet dipar,1,0,0,0,0
I10T-gNSC-p177-r1,The baby is crying.,1,1,1,1,1
I10T-gNSC-p177-r2,The baby is having a tantrum.,1,1,1,1,1
I10T-gNSC-p181-r1,most likely he is trying to answer this survey,1,1,1,0,0
I10T-gNSC-p181-r2,pooping,1,1,1,1,0
I10T-gNSC-p187-r1,The baby is crying.,1,1,1,1,1
I10T-gNSC-p187-r2,The baby is throwing a fit.,1,1,1,1,1
I10T-gNSC-p190-r1,The baby is crying.,1,1,1,1,1
I10T-gNSC-p190-r2,The infant is wailing.,1,1,1,1,1
I10T-gNSC-p192-r1,The baby is crying.,1,1,1,1,1
I10T-gNSC-p192-r2,The baby has tears.,1,1,1,1,1
I10T-gNSC-p199-r1,The baby is crying loudly.,1,1,1,1,1
I10T-gNSC-p199-r2,The baby is crying of his mommy.,1,1,0,1,1
I10T-gNSC-p202-r1,The baby is crying.,1,1,1,1,1
I10T-gNSC-p202-r2,The baby is shouting his lungs out.,1,1,1,1,1
I10T-gNSC-p209-r1,CRYING FOR FOOD,1,1,1,1,0
I10T-gNSC-p209-r2,THROWING A TANTRUM,1,1,1,1,1
I10T-gNSC-p211-r1,This baby is in need of food and comfort.,1,0,1,1,1
I10T-gNSC-p211-r2,This inconsolable child needs a diaper change.,1,0,1,1,0
I10T-gNSC-p212-r1,He's blubbering. ,1,1,1,1,1
I10T-gNSC-p212-r2,He's crying. ,1,1,1,1,1
