Source,Response,A1,A2
I01T_Answer,the boy is really enjoying the party,1,0
I01T_Answer,clebrating a great report card,1,0
I01T_Answer,the boy is having a good time,1,0
I01T_Answer,he is enjoying his music,1,0
I01T_Answer,having fun,1,0
I01T_Answer,he is a dancing machine,1,0
I01T_Answer,the boy is having fun,1,0
I01T_Answer,the boy is celebrating,1,0
I01T_Answer,the boy is enjoying himself,1,0
I01T_Answer,he's enjoying the song,1,0
I01T_Answer,the boy likes music,1,0
I01T_Answer,enjoying music,1,0
I01T_Answer,he is having a good time,1,0
I01T_Answer,a boy is dancing with music,0,1
I01T_Answer,the boy dances with music on,0,1
I01T_Core,grooving to music,1,0
I01T_Core,the boy is jiving,1,0
I01T_Core,the kid is grooving,1,0
I01T_Core,he's grooving,1,0
I01T_Core,the boy is getting down,1,0
I01T_Core,he is singing,0,1
I01T_Core,he is dacing,0,1
I01T_Core,the boy is singing songs,0,1
I01T_Core,the boy is totally jamming out,1,0
I01T_Gramm,the boy is dancing to the rythm,1,0
I01T_Gramm,the boy is playing with music,0,1
I01T_Gramm,the boy is dancing along the music,0,1
I01T_Interp,the boy enjoys the music playing,1,0
I01T_Interp,the boy is really enjoying the party,1,0
I01T_Interp,the boy is having a good time,1,0
I01T_Interp,grooving to music,1,0
I01T_Interp,he is enjoying his music,1,0
I01T_Interp,having fun,1,0
I01T_Interp,a child is having fun,1,0
I01T_Interp,the boy is jiving,1,0
I01T_Interp,exercising to music,1,0
I01T_Interp,the boy is having fun,1,0
I01T_Interp,the boy is celebrating,1,0
I01T_Interp,the kid is grooving,1,0
I01T_Interp,the boy is enjoying himself,1,0
I01T_Interp,he's grooving,1,0
I01T_Interp,this boy is enjoying the music,1,0
I01T_Interp,he's enjoying the song,1,0
I01T_Interp,the young man is joyous,1,0
I01T_Interp,the boy likes music,1,0
I01T_Interp,enjoying music,1,0
I01T_Interp,he is having a good time,1,0
I01T_Interp,he is having a great time listening to music,1,0
I01T_Interp,he is enjoying music,1,0
I01T_Interp,the boy is partying,1,0
I01T_Interp,the boy is totally jamming out,0,1
I01T_Verif,i think this boy likes music,0,1
I01T_Verif,the boy is singing,0,1
I01T_Verif,the boy has music in his bones,0,1
I01T_Verif,this boy enjoys dancing to his favorite tune,0,1
I01T_Verif,singing,0,1
I01T_Verif,he is singing,0,1
I01T_Verif,he is dacing,0,1
I01T_Verif,the boy is singing and dancing,0,1
I01T_Verif,the boy is dancing and singing,0,1
I01T_Verif,he is singing and dancing,0,1
I01T_Verif,the boy is playing with music,0,1
I01T_Verif,the boy is singing songs,0,1
I01T_Verif,he is dancing and singing,0,1
I02T_Answer,he is about to eat a slice of pizza,1,0
I02T_Answer,the boy is about to eat a piece of pizza,1,0
I02T_Answer,the boy is ready to gobble the pizza,1,0
I02T_Answer,the boy is about to take a bite from a slice of plain pizza,1,0
I02T_Answer,he is enjoying a piece of pizza,1,0
I02T_Answer,the boy is about to eat a pizza,1,0
I02T_Answer,the boy is about to enjoy some pizza,1,0
I02T_Answer,the boy is looking forward to enjoying pizza,1,0
I02T_Answer,he is enjoying some pizza,1,0
I02T_Answer,the boy is enjoying pizza,1,0
I02T_Answer,the child is about to eat pizza,1,0
I02T_Answer,enjoying it,1,0
I02T_Answer,the boy is ready to take a bite out of a piece of pizza,1,0
I02T_Answer,the boy is going to eat a slice of pizza,1,0
I02T_Answer,enjoying pizza,1,0
I02T_Answer,the boy appears to be getting ready to bite in to a slice of pizza,1,0
I02T_Answer,this boy is preparing to eat the delicious pizza,1,0
I02T_Answer,he is about to take a bite of pizza,1,0
I02T_Answer,he is about to chow down on some pizza,1,0
I02T_Core,the boy looks happy to have that slice of pie,0,1
I02T_Core,the boy is eating,0,1
I02T_Core,he may get fat eating pizza,1,0
I02T_Core,excited about his slice of pizza,0,1
I02T_Core,about to go deep on a pizza slice,0,1
I02T_Core,the boy is anxiously awaiting for the pizza to enter his mouth,0,1
I02T_Core,the boy is holding a slice of pizza,0,1
I02T_Gramm,boy is enjoying a pizza,0,1
I02T_Gramm,the boy is anxiously awaiting for the pizza to enter his mouth,1,0
I02T_Interp,he may get fat eating pizza,1,0
I02T_Interp,see my last statement,0,1
I02T_Interp,the boy is hungry,1,0
I02T_Interp,he's pigging out,1,0
I02T_Interp,pizza is this boys favorite food,1,0
I02T_Interp,he's stuffing his face,1,0
I02T_Interp,how is the pizza staying perfectly horizontal when the boy is holding it so close to the tip?,0,1
I02T_Verif,the pizza looks good,0,1
I02T_Verif,the boy is hungry,1,0
I02T_Verif,the boy had pizza for lunch,0,1
I02T_Verif,eating lunch,0,1
I02T_Verif,the boy is eating lunch,0,1
I02T_Verif,he's having lunch,0,1
I03T_Answer,the woman is accepting the package delivery,1,0
I03T_Answer,the woman is taking a delivery,1,0
I03T_Answer,this man is delivering a package,0,1
I03T_Answer,the man is flirting with the woman,1,0
I03T_Answer,the man delivered one package to one female staff,1,0
I03T_Answer,a man is passing a box to a young lady,0,1
I03T_Answer,the man give a gift to female,1,0
I03T_Answer,the man is looking the young lady,1,0
I03T_Core,a man delivered your package,0,1
I03T_Core,the postman is giving a package to the lady,0,1
I03T_Core,a man is sending a package to a woman,0,1
I03T_Core,the boy give the girl a brown box,0,1
I03T_Core,the deliver is handing the package to the woman,1,0
I03T_Gramm,t.he man is accepting a package,0,1
I03T_Gramm,the man is handling a mailbox to the woman,1,0
I03T_Gramm,a delivery man is delivering a red package to center desk,0,1
I03T_Gramm,he is handing a package,0,1
I03T_Gramm,the man is handing package to the woman,0,1
I03T_Gramm,the man is handing over a package to recipient,0,1
I03T_Interp,the woman is accepting the package delivery,1,0
I03T_Interp,t.he man is accepting a package,1,0
I03T_Interp,the man is handing over the package,1,0
I03T_Interp,giving a package to an admin,1,0
I03T_Interp,the man is handing her mail,1,0
I03T_Interp,the man is a courier,1,0
I03T_Interp,he's giving her a box,1,0
I03T_Interp,giving her a package,1,0
I03T_Interp,the man is flirting with the woman,1,0
I03T_Interp,a package is delivered,0,1
I03T_Interp,the man is handling a mailbox to the woman,0,1
I03T_Interp,the man is looking the young lady,1,0
I03T_Interp,he is presenting a gift,1,0
I03T_Interp,the man is feeling a sort of romantic feeling for the woman in front of him,1,0
I03T_Interp,the man is handing a packing to the lady,0,1
I03T_Interp,the man is handing over a package to recipient,1,0
I03T_Verif,he is delivering a package to what appears to be an office recptionist,1,0
I03T_Verif,the receptionist is accepting a delivery from the man,1,0
I03T_Verif,this man is going to mail a package,1,0
I03T_Verif,giving a package to an admin,1,0
I03T_Verif,the man is working,1,0
I03T_Verif,receiving a package from the secretary,1,0
I03T_Verif,the is delivering,0,1
I03T_Verif,the man is delivering a package to a company,1,0
I03T_Verif,the man is handing a package to a front desk lady,1,0
I03T_Verif,sending package to a woman,0,1
I03T_Verif,he is sending a package,0,1
I03T_Verif,the man is looking the young lady,1,0
I03T_Verif,a man is sending a package to a woman,0,1
I03T_Verif,he is delivering packages,1,0
I03T_Verif,the man is putting the package to the woman,0,1
I03T_Verif,he is sending a box to a woman,0,1
I03T_Verif,the man is handing a package to his client,1,0
I03T_Verif,the man is delivering a package so the smoking hot receptionist,1,0
