ResponseID,Response,Core,Answer,Gramm,Interp,Verif,parse,ldh,xdh,xdx,ldh tfidf cosine,xdh tfidf cosine,xdx tfidf cosine
I30T-gNSF-p143-r1,The woman is jogging. ,1,1,1,1,1,"1	the	_	DT	DT	_	2	det	_	_
2	woman	_	NN	NN	_	4	nsubj	_	_
3	be	_	VBZ	VBZ	_	4	cop	_	_
4	jogging	_	NN	NN	_	0	root	_	_
5	.	_	.	.	_	4	punct	_	_","['det$@%the$@%woman', 'nsubj$@%woman$@%jogging', 'cop$@%be$@%jogging', 'root$@%jogging$@%VROOT', 'punct$@%.$@%jogging']","['x$@%the$@%woman', 'x$@%woman$@%jogging', 'x$@%be$@%jogging', 'x$@%jogging$@%VROOT', 'x$@%.$@%jogging']","['x$@%the$@%x', 'x$@%woman$@%x', 'x$@%be$@%x', 'x$@%jogging$@%x', 'x$@%.$@%x']",0.054701142904755473,0.055872185279287834,0.0049267803193400184
I30T-gNSF-p143-r2,The woman is running.,1,1,1,1,1,"1	the	_	DT	DT	_	2	det	_	_
2	woman	_	NN	NN	_	4	nsubj	_	_
3	be	_	VBZ	VBZ	_	4	aux	_	_
4	run	_	VBG	VBG	_	0	root	_	_
5	.	_	.	.	_	4	punct	_	_","['det$@%the$@%woman', 'nsubj$@%woman$@%run', 'aux$@%be$@%run', 'root$@%run$@%VROOT', 'punct$@%.$@%run']","['x$@%the$@%woman', 'x$@%woman$@%run', 'x$@%be$@%run', 'x$@%run$@%VROOT', 'x$@%.$@%run']","['x$@%the$@%x', 'x$@%woman$@%x', 'x$@%be$@%x', 'x$@%run$@%x', 'x$@%.$@%x']",0.03385507394603382,0.035282592536677426,0.0025499338998967724
I30T-gNSF-p151-r1,The woman is jogging.,1,1,1,1,1,"1	the	_	DT	DT	_	2	det	_	_
2	woman	_	NN	NN	_	4	nsubj	_	_
3	be	_	VBZ	VBZ	_	4	cop	_	_
4	jogging	_	NN	NN	_	0	root	_	_
5	.	_	.	.	_	4	punct	_	_","['det$@%the$@%woman', 'nsubj$@%woman$@%jogging', 'cop$@%be$@%jogging', 'root$@%jogging$@%VROOT', 'punct$@%.$@%jogging']","['x$@%the$@%woman', 'x$@%woman$@%jogging', 'x$@%be$@%jogging', 'x$@%jogging$@%VROOT', 'x$@%.$@%jogging']","['x$@%the$@%x', 'x$@%woman$@%x', 'x$@%be$@%x', 'x$@%jogging$@%x', 'x$@%.$@%x']",0.054701142904755473,0.055872185279287834,0.0049267803193400184
I30T-gNSF-p151-r2,The woman is going for a jog.,1,1,1,1,1,"1	the	_	DT	DT	_	2	det	_	_
2	woman	_	NN	NN	_	4	nsubj	_	_
3	be	_	VBZ	VBZ	_	4	aux	_	_
4	go	_	VBG	VBG	_	0	root	_	_
5	for	_	IN	IN	_	0	erased	_	_
6	a	_	DT	DT	_	7	det	_	_
7	jog	_	NN	NN	_	4	prep_for	_	_
8	.	_	.	.	_	4	punct	_	_","['det$@%the$@%woman', 'nsubj$@%woman$@%go', 'aux$@%be$@%go', 'root$@%go$@%VROOT', 'erased$@%for$@%WORDERASED', 'det$@%a$@%jog', 'prep_for$@%jog$@%go', 'punct$@%.$@%go']","['x$@%the$@%woman', 'x$@%woman$@%go', 'x$@%be$@%go', 'x$@%go$@%VROOT', 'x$@%for$@%WORDERASED', 'x$@%a$@%jog', 'x$@%jog$@%go', 'x$@%.$@%go']","['x$@%the$@%x', 'x$@%woman$@%x', 'x$@%be$@%x', 'x$@%go$@%x', 'x$@%for$@%x', 'x$@%a$@%x', 'x$@%jog$@%x', 'x$@%.$@%x']",0.041378663088577849,0.040708131249701296,0.00544592462373783
I30T-gNSF-p294-r1,The woman is jogging.,1,1,1,1,1,"1	the	_	DT	DT	_	2	det	_	_
2	woman	_	NN	NN	_	4	nsubj	_	_
3	be	_	VBZ	VBZ	_	4	cop	_	_
