ResponseID,Response,Core,Answer,Gramm,Interp,Verif,parse,ldh,ldx,lxh,xdh,xdx
I11T-gNSC-p152-r1,The boy appears to be asking a question of the older male person,1,1,1,1,1,"1	the	_	DT	DT	_	2	det	_	_
2	boy	_	NN	NN	_	6	xsubj	_	_
3	appear	_	VBZ	VBZ	_	0	root	_	_
4	to	_	TO	TO	_	6	aux	_	_
5	be	_	VB	VB	_	6	aux	_	_
6	ask	_	VBG	VBG	_	3	xcomp	_	_
7	a	_	DT	DT	_	8	det	_	_
8	question	_	NN	NN	_	6	dobj	_	_
9	of	_	IN	IN	_	0	erased	_	_
10	the	_	DT	DT	_	13	det	_	_
11	older	_	JJR	JJR	_	12	dep	_	_
12	male	_	NN	NN	_	13	amod	_	_
13	person	_	NN	NN	_	8	prep_of	_	_
14	.	_	.	.	_	3	punct	_	_","['det$@%the$@%boy', 'xsubj$@%boy$@%ask', 'root$@%appear$@%VROOT', 'aux$@%to$@%ask', 'aux$@%be$@%ask', 'xcomp$@%ask$@%appear', 'det$@%a$@%question', 'dobj$@%question$@%ask', 'erased$@%of$@%WORDERASED', 'det$@%the$@%person', 'dep$@%older$@%male', 'amod$@%male$@%person', 'prep_of$@%person$@%question', 'punct$@%.$@%appear']","['det$@%the$@%x', 'xsubj$@%boy$@%x', 'root$@%appear$@%x', 'aux$@%to$@%x', 'aux$@%be$@%x', 'xcomp$@%ask$@%x', 'det$@%a$@%x', 'dobj$@%question$@%x', 'erased$@%of$@%x', 'det$@%the$@%x', 'dep$@%older$@%x', 'amod$@%male$@%x', 'prep_of$@%person$@%x', 'punct$@%.$@%x']","['det$@%x$@%boy', 'xsubj$@%x$@%ask', 'root$@%x$@%VROOT', 'aux$@%x$@%ask', 'aux$@%x$@%ask', 'xcomp$@%x$@%appear', 'det$@%x$@%question', 'dobj$@%x$@%ask', 'erased$@%x$@%WORDERASED', 'det$@%x$@%person', 'dep$@%x$@%male', 'amod$@%x$@%person', 'prep_of$@%x$@%question', 'punct$@%x$@%appear']","['x$@%the$@%boy', 'x$@%boy$@%ask', 'x$@%appear$@%VROOT', 'x$@%to$@%ask', 'x$@%be$@%ask', 'x$@%ask$@%appear', 'x$@%a$@%question', 'x$@%question$@%ask', 'x$@%of$@%WORDERASED', 'x$@%the$@%person', 'x$@%older$@%male', 'x$@%male$@%person', 'x$@%person$@%question', 'x$@%.$@%appear']","['x$@%the$@%x', 'x$@%boy$@%x', 'x$@%appear$@%x', 'x$@%to$@%x', 'x$@%be$@%x', 'x$@%ask$@%x', 'x$@%a$@%x', 'x$@%question$@%x', 'x$@%of$@%x', 'x$@%the$@%x', 'x$@%older$@%x', 'x$@%male$@%x', 'x$@%person$@%x', 'x$@%.$@%x']"
I11T-gNSC-p152-r2,the right index finger is pointing upwards,0,0,1,1,1,"1	the	_	DT	DT	_	4	det	_	_
2	right	_	JJ	JJ	_	4	amod	_	_
3	index	_	NN	NN	_	4	nn	_	_
4	finger	_	NN	NN	_	6	nsubj	_	_
5	be	_	VBZ	VBZ	_	6	aux	_	_
6	point	_	VBG	VBG	_	0	root	_	_
7	upward	_	NNS	NNS	_	6	dobj	_	_
8	.	_	.	.	_	6	punct	_	_","['det$@%the$@%finger', 'amod$@%right$@%finger', 'nn$@%index$@%finger', 'nsubj$@%finger$@%point', 'aux$@%be$@%point', 'root$@%point$@%VROOT', 'dobj$@%upward$@%point', 'punct$@%.$@%point']","['det$@%the$@%x', 'amod$@%right$@%x', 'nn$@%index$@%x', 'nsubj$@%finger$@%x', 'aux$@%be$@%x', 'root$@%point$@%x', 'dobj$@%upward$@%x', 'punct$@%.$@%x']","['det$@%x$@%finger', 'amod$@%x$@%finger', 'nn$@%x$@%finger', 'nsubj$@%x$@%point', 'aux$@%x$@%point', 'root$@%x$@%VROOT', 'dobj$@%x$@%point', 'punct$@%x$@%point']","['x$@%the$@%finger', 'x$@%right$@%finger', 'x$@%index$@%finger', 'x$@%finger$@%point', 'x$@%be$@%point', 'x$@%point$@%VROOT', 'x$@%upward$@%point', 'x$@%.$@%point']","['x$@%the$@%x', 'x$@%right$@%x', 'x$@%index$@%x', 'x$@%finger$@%x', 'x$@%be$@%x', 'x$@%point$@%x', 'x$@%upward$@%x', 'x$@%.$@%x']"
I11T-gNSC-p159-r1,The boy is asking a question.,1,1,1,0,1,"1	the	_	DT	DT	_	2	det	_	_
2	boy	_	NN	NN	_	4	nsubj	_	_
3	be	_	VBZ	VBZ	_	4	aux	_	_
4	ask	_	VBG	VBG	_	0	root	_	_
5	a	_	DT	DT	_	6	det	_	_
6	question	_	NN	NN	_	4	dobj	_	_
7	.	_	.	.	_	4	punct	_	_","['det$@%the$@%boy', 'nsubj$@%boy$@%ask', 'aux$@%be$@%ask', 'root$@%ask$@%VROOT', 'det$@%a$@%question', 'dobj$@%question$@%ask', 'punct$@%.$@%ask']","['det$@%the$@%x', 'nsubj$@%boy$@%x', 'aux$@%be$@%x', 'root$@%ask$@%x', 'det$@%a$@%x', 'dobj$@%question$@%x', 'punct$@%.$@%x']","['det$@%x$@%boy', 'nsubj$@%x$@%ask', 'aux$@%x$@%ask', 'root$@%x$@%VROOT', 'det$@%x$@%question', 'dobj$@%x$@%ask', 'punct$@%x$@%ask']","['x$@%the$@%boy', 'x$@%boy$@%ask', 'x$@%be$@%ask', 'x$@%ask$@%VROOT', 'x$@%a$@%question', 'x$@%question$@%ask', 'x$@%.$@%ask']","['x$@%the$@%x', 'x$@%boy$@%x', 'x$@%be$@%x', 'x$@%ask$@%x', 'x$@%a$@%x', 'x$@%question$@%x', 'x$@%.$@%x']"
I11T-gNSC-p159-r2,The boy is asking an adult a question.,1,1,1,1,1,"1	the	_	DT	DT	_	2	det	_	_
2	boy	_	NN	NN	_	4	nsubj	_	_
3	be	_	VBZ	VBZ	_	4	aux	_	_
4	ask	_	VBG	VBG	_	0	root	_	_
5	a	_	DT	DT	_	6	det	_	_
6	adult	_	NN	NN	_	4	iobj	_	_
7	a	_	DT	DT	_	8	det	_	_
8	question	_	NN	NN	_	4	dobj	_	_
9	.	_	.	.	_	4	punct	_	_","['det$@%the$@%boy', 'nsubj$@%boy$@%ask', 'aux$@%be$@%ask', 'root$@%ask$@%VROOT', 'det$@%a$@%adult', 'iobj$@%adult$@%ask', 'det$@%a$@%question', 'dobj$@%question$@%ask', 'punct$@%.$@%ask']","['det$@%the$@%x', 'nsubj$@%boy$@%x', 'aux$@%be$@%x', 'root$@%ask$@%x', 'det$@%a$@%x', 'iobj$@%adult$@%x', 'det$@%a$@%x', 'dobj$@%question$@%x', 'punct$@%.$@%x']","['det$@%x$@%boy', 'nsubj$@%x$@%ask', 'aux$@%x$@%ask', 'root$@%x$@%VROOT', 'det$@%x$@%adult', 'iobj$@%x$@%ask', 'det$@%x$@%question', 'dobj$@%x$@%ask', 'punct$@%x$@%ask']","['x$@%the$@%boy', 'x$@%boy$@%ask', 'x$@%be$@%ask', 'x$@%ask$@%VROOT', 'x$@%a$@%adult', 'x$@%adult$@%ask', 'x$@%a$@%question', 'x$@%question$@%ask', 'x$@%.$@%ask']","['x$@%the$@%x', 'x$@%boy$@%x', 'x$@%be$@%x', 'x$@%ask$@%x', 'x$@%a$@%x', 'x$@%adult$@%x', 'x$@%a$@%x', 'x$@%question$@%x', 'x$@%.$@%x']"
I11T-gNSC-p163-r1,Asking the man a question.,1,1,1,1,1,"1	ask	_	VBG	VBG	_	0	root	_	_
2	the	_	DT	DT	_	3	det	_	_
3	man	_	NN	NN	_	5	nsubj	_	_
4	a	_	DT	DT	_	5	det	_	_
5	question	_	NN	NN	_	1	xcomp	_	_
