Source,Response,A1,A2
I02T_Core,the boy looks happy to have that slice of pie,0,1
I02T_Core,the boy is eating,0,1
I02T_Core,he may get fat eating pizza,1,0
I02T_Core,excited about his slice of pizza,0,1
I02T_Core,about to go deep on a pizza slice,0,1
I02T_Core,the boy is anxiously awaiting for the pizza to enter his mouth,0,1
I02T_Core,the boy is holding a slice of pizza,0,1
I02U_Core,the boy likes pizza,1,0
I02U_Core,pizza makes the boy happy,1,0
I02U_Core,pizza is tommy's favorite food,1,0
I02U_Core,the boy is eating for pizza,1,0
