Source,Response,A1,A2
I29T_Interp,loving her furby.,1,0
I29T_Interp,The woman is enjoying the company of her dog.,0,1
I29T_Interp,ENJOYING THE COMPANIONSHIP OF HER 4 LEGGED FRIEND,1,0
I29T_Interp,She is enjoying the dog.,1,0
I29T_Interp,She is conveying pleasure.,1,0
I29T_Interp,The dog loves the woman.,1,0
I29T_Interp,"After Princess ate her prize orchid, Sally decided to break its neck.",0,1
I29T_Interp,The women is holding the little dog.,0,1
I29T_Interp,She is hugging a pet in her arms.,0,1
I29T_Interp,The woman  is holding a pet. ,0,1
I29T_Interp,A women is holding his lovely dog and smiling happy.,0,1
I29T_Interp,The woman is putting a dog in front of her body.,1,0
I29T_Interp,The woman is hanging a pet.,0,1
I29T_Interp,The woman is hanging her pet.,0,1
