ResponseID,Response,Core,Answer,Gramm,Interp,Verif,parse
I15T-gNSF-p142-r1,The man is planting a tree.,1,1,1,1,1,"1	the	_	DT	DT	_	2	det	_	_
2	man	_	NN	NN	_	4	nsubj	_	_
3	be	_	VBZ	VBZ	_	4	aux	_	_
4	plant	_	VBG	VBG	_	0	root	_	_
5	a	_	DT	DT	_	6	det	_	_
6	tree	_	NN	NN	_	4	dobj	_	_
7	.	_	.	.	_	4	punct	_	_"
I15T-gNSF-p142-r2,The man is planting a sapling.,1,1,1,1,1,"1	the	_	DT	DT	_	2	det	_	_
2	man	_	NN	NN	_	4	nsubj	_	_
3	be	_	VBZ	VBZ	_	4	aux	_	_
4	plant	_	VBG	VBG	_	0	root	_	_
5	a	_	DT	DT	_	6	det	_	_
6	sapling	_	NN	NN	_	4	dobj	_	_
7	.	_	.	.	_	4	punct	_	_"
I15T-gNSF-p145-r1,He is planting a tree. ,1,1,1,1,1,"1	he	_	PRP	PRP	_	3	nsubj	_	_
2	be	_	VBZ	VBZ	_	3	aux	_	_
3	plant	_	VBG	VBG	_	0	root	_	_
4	a	_	DT	DT	_	5	det	_	_
5	tree	_	NN	NN	_	3	dobj	_	_
6	.	_	.	.	_	3	punct	_	_"
I15T-gNSF-p146-r1,The man is planting a tree.,1,1,1,1,1,"1	the	_	DT	DT	_	2	det	_	_
2	man	_	NN	NN	_	4	nsubj	_	_
3	be	_	VBZ	VBZ	_	4	aux	_	_
4	plant	_	VBG	VBG	_	0	root	_	_
5	a	_	DT	DT	_	6	det	_	_
6	tree	_	NN	NN	_	4	dobj	_	_
7	.	_	.	.	_	4	punct	_	_"
I15T-gNSF-p147-r1,The man is planting a tree. ,1,1,1,1,1,"1	the	_	DT	DT	_	2	det	_	_
2	man	_	NN	NN	_	4	nsubj	_	_
3	be	_	VBZ	VBZ	_	4	aux	_	_
4	plant	_	VBG	VBG	_	0	root	_	_
5	a	_	DT	DT	_	6	det	_	_
6	tree	_	NN	NN	_	4	dobj	_	_
7	.	_	.	.	_	4	punct	_	_"
I15T-gNSF-p147-r2,The man dug a hole and is now planting a tree. ,1,1,1,1,1,"1	the	_	DT	DT	_	2	det	_	_
2	man	_	NN	NN	_	9	nsubj	_	_
3	dig	_	VBD	VBD	_	0	root	_	_
4	a	_	DT	DT	_	5	det	_	_
5	hole	_	NN	NN	_	3	dobj	_	_
6	and	_	CC	CC	_	0	erased	_	_
7	be	_	VBZ	VBZ	_	9	aux	_	_
8	now	_	RB	RB	_	9	advmod	_	_
9	plant	_	VBG	VBG	_	3	conj_and	_	_
10	a	_	DT	DT	_	11	det	_	_
11	tree	_	NN	NN	_	9	dobj	_	_
12	.	_	.	.	_	3	punct	_	_"
I15T-gNSF-p148-r1,The man is planting a tree.,1,1,1,1,1,"1	the	_	DT	DT	_	2	det	_	_
2	man	_	NN	NN	_	4	nsubj	_	_
3	be	_	VBZ	VBZ	_	4	aux	_	_
4	plant	_	VBG	VBG	_	0	root	_	_
5	a	_	DT	DT	_	6	det	_	_
6	tree	_	NN	NN	_	4	dobj	_	_
7	.	_	.	.	_	4	punct	_	_"
I15T-gNSF-p149-r1,The man is gleefully preparing to plant a fairly unhealthy looking sapling into a hole he has dug.,1,1,1,1,1,"1	the	_	DT	DT	_	2	det	_	_
2	man	_	NN	NN	_	7	xsubj	_	_
3	be	_	VBZ	VBZ	_	5	aux	_	_
4	gleefully	_	RB	RB	_	5	advmod	_	_
5	prepare	_	VBG	VBG	_	0	root	_	_
6	to	_	TO	TO	_	7	aux	_	_
7	plant	_	VB	VB	_	5	xcomp	_	_
8	a	_	DT	DT	_	10	det	_	_
9	fairly	_	RB	RB	_	10	advmod	_	_
10	unhealthy	_	JJ	JJ	_	7	dobj	_	_
11	look	_	VBG	VBG	_	10	partmod	_	_
12	sapling	_	VBG	VBG	_	11	xcomp	_	_
13	into	_	IN	IN	_	0	erased	_	_
14	a	_	DT	DT	_	15	det	_	_
15	hole	_	NN	NN	_	18	dobj	_	_
16	he	_	PRP	PRP	_	18	nsubj	_	_
17	have	_	VBZ	VBZ	_	18	aux	_	_
18	dig	_	VBD	VBD	_	15	rcmod	_	_
19	.	_	.	.	_	5	punct	_	_"
I15T-gNSF-p149-r2,The man is planting a tree. ,1,1,1,1,1,"1	the	_	DT	DT	_	2	det	_	_
2	man	_	NN	NN	_	4	nsubj	_	_
3	be	_	VBZ	VBZ	_	4	aux	_	_
4	plant	_	VBG	VBG	_	0	root	_	_
5	a	_	DT	DT	_	6	det	_	_
6	tree	_	NN	NN	_	4	dobj	_	_
7	.	_	.	.	_	4	punct	_	_"
I15T-gNSF-p150-r1,The man is planting a tree. ,1,1,1,1,1,"1	the	_	DT	DT	_	2	det	_	_
2	man	_	NN	NN	_	4	nsubj	_	_
3	be	_	VBZ	VBZ	_	4	aux	_	_
4	plant	_	VBG	VBG	_	0	root	_	_
5	a	_	DT	DT	_	6	det	_	_
6	tree	_	NN	NN	_	4	dobj	_	_
7	.	_	.	.	_	4	punct	_	_"
I15T-gNSC-p152-r1,The man appears to be ready to place a tree in a hole in the ground,1,1,1,1,1,"1	the	_	DT	DT	_	2	det	_	_
2	man	_	NN	NN	_	6	xsubj	_	_
3	appear	_	VBZ	VBZ	_	0	root	_	_
4	to	_	TO	TO	_	6	aux	_	_
5	be	_	VB	VB	_	6	cop	_	_
6	ready	_	JJ	JJ	_	3	xcomp	_	_
7	to	_	TO	TO	_	8	aux	_	_
8	place	_	VB	VB	_	6	xcomp	_	_
9	a	_	DT	DT	_	10	det	_	_
10	tree	_	NN	NN	_	8	dobj	_	_
11	in	_	IN	IN	_	0	erased	_	_
12	a	_	DT	DT	_	13	det	_	_
13	hole	_	NN	NN	_	8	prep_in	_	_
14	in	_	IN	IN	_	0	erased	_	_
15	the	_	DT	DT	_	16	det	_	_
16	ground	_	NN	NN	_	13	prep_in	_	_
17	.	_	.	.	_	3	punct	_	_"
I15T-gNSC-p152-r2,The man has just finished digging a hole in which he is ready to place the sapling he is holding,1,1,1,1,1,"1	the	_	DT	DT	_	2	det	_	_
2	man	_	NN	NN	_	5	nsubj	_	_
3	have	_	VBZ	VBZ	_	5	aux	_	_
4	just	_	RB	RB	_	5	advmod	_	_
5	finish	_	VBN	VBN	_	0	root	_	_
6	digging	_	VBG	VBG	_	5	xcomp	_	_
7	a	_	DT	DT	_	8	det	_	_
8	hole	_	NN	NN	_	6	dobj	_	_
9	in	_	IN	IN	_	0	erased	_	_
10	which	_	WDT	WDT	_	13	rel	_	_
11	he	_	PRP	PRP	_	13	nsubj	_	_
12	be	_	VBZ	VBZ	_	13	cop	_	_
13	ready	_	JJ	JJ	_	8	rcmod	_	_
14	to	_	TO	TO	_	15	aux	_	_
15	place	_	VB	VB	_	13	xcomp	_	_
16	the	_	DT	DT	_	17	det	_	_
17	sapling	_	NN	NN	_	20	dobj	_	_
18	he	_	PRP	PRP	_	20	nsubj	_	_
19	be	_	VBZ	VBZ	_	20	aux	_	_
20	hold	_	VBG	VBG	_	17	rcmod	_	_
21	.	_	.	.	_	5	punct	_	_"
I15T-gNSC-p159-r1,The man is planting a tree.,1,1,1,1,1,"1	the	_	DT	DT	_	2	det	_	_
2	man	_	NN	NN	_	4	nsubj	_	_
3	be	_	VBZ	VBZ	_	4	aux	_	_
4	plant	_	VBG	VBG	_	0	root	_	_
5	a	_	DT	DT	_	6	det	_	_
6	tree	_	NN	NN	_	4	dobj	_	_
7	.	_	.	.	_	4	punct	_	_"
I15T-gNSC-p159-r2,The man is planting a tree is the ground.,1,1,0,1,1,"1	the	_	DT	DT	_	2	det	_	_
2	man	_	NN	NN	_	4	nsubj	_	_
3	be	_	VBZ	VBZ	_	4	aux	_	_
4	plant	_	VBG	VBG	_	0	root	_	_
5	a	_	DT	DT	_	6	det	_	_
6	tree	_	NN	NN	_	9	nsubj	_	_
7	be	_	VBZ	VBZ	_	9	cop	_	_
8	the	_	DT	DT	_	9	det	_	_
9	ground	_	NN	NN	_	4	ccomp	_	_
10	.	_	.	.	_	4	punct	_	_"
