ResponseID,Response,Core,Answer,Gramm,Interp,Verif
I22T-gNSF-p143-r2,The woman is giving the weather forecast.,1,1,1,1,1
I22T-gNSF-p151-r1,The woman is pointing to a weather map.,1,1,1,1,1
I22T-gNSF-p151-r2,She is reporting the weather.,1,1,1,1,1
I22T-gNSF-p294-r1,The woman is giving the weather prediction.,1,1,1,1,1
I22T-gNSF-p294-r2,She is predicting a partly cloudy day.,1,1,1,1,1
I22T-gNSF-p295-r2,She is giving the weather forecast.,1,1,1,1,1
I22T-gNSF-p296-r2,The woman is giving a weather forecast.,1,1,1,1,1
I22T-gNSF-p297-r1,She is showing the weather forecast.,1,1,1,1,1
I22T-gNSF-p304-r2,She is showing the weather map.,1,1,1,1,1
I22T-gNSF-p305-r1,She is forecasting the weather.,1,1,1,1,1
I22T-gNSF-p305-r2,She is demonstrating a weather pattern.,1,1,1,1,1
I22T-gNSC-p307-r1,The woman is being a weather man.,1,1,1,1,1
I22T-gNSC-p308-r1,The woman is projecting the future weather forecast.,1,1,1,1,1
I22T-gNSC-p308-r2,The woman is showing that the weather will be partly cloudy over the southern region.,1,1,1,1,1
I22T-gNSC-p309-r2,The woman is explaining that it will be sunny for part of the day.,1,1,1,1,1
I22T-gNSC-p310-r1,The woman is giving a weather report.,1,1,1,1,1
I22T-gNSC-p314-r1,Reporting the weather,1,1,1,1,1
I22T-gNSC-p317-r1,The woman is giving a weather report.,1,1,1,1,1
I22T-gNSC-p318-r1,The woman is presenting a weather map,1,1,1,1,1
I22T-gNSC-p318-r2,The woman is showing a map of weather conditions,1,1,1,1,1
I22T-gNSC-p320-r2,giving a weather report,1,1,1,1,1
I22T-gNSC-p328-r1,The woman is forecasting the weather. ,1,1,1,1,1
I22T-gNSC-p328-r2,She is giving the weather report. ,1,1,1,1,1
I22T-gNSC-p329-r1,Giving a weather report,1,1,1,1,1
I22T-gNSC-p329-r2,Showing the weather report on a map,1,1,1,1,1
I22T-gNSC-p330-r1,The woman is showing the weather forecast.,1,1,1,1,1
I22T-gNSC-p330-r2,The woman is presenting the weather forecast.,1,1,1,1,1
I22T-gNSC-p331-r2,The woman is demonstrating the area of weather activity.,1,1,1,1,1
I22T-gNSC-p332-r2,The woman is a weather reporter and is telling us the weather for today.,1,1,1,1,1
I22T-gNSC-p339-r1,The woman is showing the forecast.,1,1,1,1,1
I22T-gNSC-p339-r2,She is showing the weather forecast.,1,1,1,1,1
I22T-gNSC-p346-r1,The woman is forecasting the weather.,1,1,1,1,1
I22T-gNSC-p347-r2,Reporting the weather in TV or live broadcast.,1,1,1,1,1
I22T-gNSC-p351-r1,She is reporting the weather. ,1,1,1,1,1
I22T-gNSC-p354-r1,Giving the weather report.,1,1,1,1,1
I22T-gNSC-p361-r1,The woman is giving a weather forcast.,1,1,1,1,1
I22T-gNSC-p362-r1,The woman is forecasting the weather.,1,1,1,1,1
I22T-gNSC-p362-r2,The woman is giving a weather forecast.,1,1,1,1,1
I22T-gNSC-p369-r1,Forecasting the weather. ,1,1,1,1,1
I22T-gNSC-p372-r1,She is broadcasting the weather ,1,1,1,1,1
I22T-gNSC-p384-r1,The woman is giving the weather report.,1,1,1,1,1
I22T-gNSC-p388-r2,The woman is telling an audience the weather forecast.,1,1,1,1,1
I22T-gNSC-p391-r1,The woman is doing a weather forecast.,1,1,1,1,1
I22T-gNSC-p391-r2,The woman is doing a weather forecast on TV,1,1,1,1,1
I22T-gNSC-p392-r1,Showing the weather forecast.,1,1,1,1,1
I22T-gNSC-p395-r2,The woman is reporting the weather.,1,1,1,1,1
I22T-gNSC-p398-r1,She is giving a TV weather report.,1,1,1,1,1
I22T-gNSC-p406-r1,The woman is showing a weather forecast. ,1,1,1,1,1
I22T-gNSC-p419-r1,The woman is reporting the weather.,1,1,1,1,1
I22T-gNSC-p422-r1,the woman is explaining the weather.,1,1,1,1,1
I22T-gNSC-p428-r1,The woman is reporting the weather.,1,1,1,1,1
I22T-gNSC-p428-r2,The woman is describing the forecast. ,1,1,1,1,1
I22T-gNSC-p430-r1,The woman is giving a weather report.,1,1,1,1,1
I22T-gNSC-p430-r2,The woman is explaining the weather.,1,1,1,1,1
I22T-gNSC-p439-r1,The woman is pointing to a weather map.,1,1,1,1,1
I22T-gNSC-p439-r2,The woman is working as a weather announcer at a TV station.,1,1,1,1,1
I22T-gNSC-p440-r1,GIVING A WEATHER REPORT,1,1,1,1,1
I22T-gNSC-p443-r1,The woman is pointing to a weather map.,1,1,1,1,1
I22T-gNSC-p443-r2,The woman is giving a weather forecast.,1,1,1,1,1
I22T-gNSC-p458-r1,she is giving a weather forecast,1,1,1,1,1
I22T-gNSC-p458-r2,she is showing a weather pattern,1,1,1,1,1
I22T-gNSC-p459-r1,Giving a weather forecast on Tv,1,1,1,1,1
I22T-gNSC-p459-r2,showing a weather map on Tv,1,1,1,1,1
I22T-gNSC-p466-r1,The woman is giving a weather forecast.,1,1,1,1,1
I22T-gNSC-p468-r1,The woman is giving a weather forecast.,1,1,1,1,1
I22T-gNSC-p468-r2,The woman is gesturing to a place on a weather map.,1,1,1,1,1
I22T-gNSC-p470-r2,the woman is pointing to a weather map.,1,1,1,1,1
I22T-gNSC-p473-r2,giving the weather forecast,1,1,1,1,1
I22T-gNSF-p498-r1,The woman is presenting the weather forecast.,1,1,1,1,1
I22T-gNSF-p498-r2,She is giving the weather report on television.,1,1,1,1,1
I22T-gNSF-p499-r1,The woman is showing the weather forecast.,1,1,1,1,1
I22T-gNSF-p499-r2,The woman is announcing the weather.,1,1,1,1,1
