ResponseID,Response,Core,Answer,Gramm,Interp,Verif
I26T-gNSF-p143-r1,The man is reading to the little girl. ,1,1,1,1,1
I26T-gNSF-p143-r2,The man is reading a book to his daughter. ,1,1,1,1,1
I26T-gNSF-p144-r1,The man reads to the little girl.,1,0,1,1,1
I26T-gNSF-p144-r2,He is reading his daughter a story. ,1,1,1,1,1
I26T-gNSF-p151-r1,The man is reading a book to his daughter.,1,1,1,1,1
I26T-gNSF-p151-r2,He is reading aloud.,1,1,1,1,1
I26T-gNSF-p294-r1,The man is reading a book to the little girl.,1,1,1,1,1
I26T-gNSF-p294-r2,He is enjoying reading to the girl.,1,1,1,1,1
I26T-gNSF-p295-r1,The man is reading to his daughter.,1,1,1,1,1
I26T-gNSF-p295-r2,The man is reading a book with the young girl.,1,1,1,1,1
I26T-gNSF-p296-r1,The man is reading to the girl. ,1,1,1,1,1
I26T-gNSF-p296-r2,The man is talking to the girl.,0,1,1,1,1
I26T-gNSF-p297-r1,The dad reads the girl a book.,1,0,1,1,1
I26T-gNSF-p297-r2,The man is talking to his daughter.,0,1,1,1,1
I26T-gNSF-p298-r1,The man is spending time with his daughter,0,1,1,0,1
I26T-gNSF-p298-r2,The man is reading a book,0,1,1,1,1
I26T-gNSF-p304-r1,He is reading a story.,0,1,1,1,1
I26T-gNSF-p304-r2,The man is reading a book to the girl.,1,1,1,1,1
I26T-gNSF-p305-r1,He is reading a book to a girl.,1,1,1,1,1
I26T-gNSF-p305-r2,He is helping the girl learn how to read.,0,1,1,1,0
I26T-gNSF-p498-r1,The man is reading a story to a girl.,1,1,1,1,1
I26T-gNSF-p498-r2,He is reading a book to a little girl.,1,1,1,1,1
I26T-gNSF-p499-r1,The man is reading a book to the girl.,1,1,1,1,1
I26T-gNSF-p499-r2,The man is reading a story to a little girl.,1,1,1,1,1
