ResponseID,Response,Core,Answer,Gramm,Interp,Verif
I03T-gNNS-p001-r1,The man is delivering the package to the woman.,1,1,1,1,1
I03T-gNNS-p002-r1,The man is handing package to the woman.,1,1,0,1,1
I03T-gNNS-p003-r1,he is passing the box to the girl,1,1,1,1,1
I03T-gNNS-p008-r1,He is handing a package.,1,1,0,0,1
I03T-gNNS-p010-r1,the woman get a package,0,0,0,1,1
I03T-gNNS-p011-r1,The man is handing a package to his client,1,1,1,1,1
I03T-gNNS-p015-r1,The woman is receiving a package.,0,0,1,1,1
I03T-gNNS-p016-r1,He is sending a box to a woman.,0,1,1,0,0
I03T-gNNS-p018-r1,The deliver is handing the package to the woman. ,1,0,0,1,1
I03T-gNNS-p019-r1,The boy give the girl a brown box.,0,0,0,1,1
I03T-gNNS-p020-r1,He is giving the package to the young lady.,1,1,1,1,1
I03T-gNNS-p024-r1,the poster officer is giving a package to a woman.,1,0,0,1,1
I03T-gNNS-p025-r1,He is passing a box to a woman.,1,1,1,1,1
I03T-gNNS-p029-r1,The man is delivering package.,1,1,0,1,1
I03T-gNNS-p031-r1,the man is passing a package to a sitting office lady. ,1,1,1,1,1
I03T-gNNS-p033-r1,A woman is taking a package from a man.,0,0,1,1,1
I03T-gNNS-p035-r1,The man is putting the package to the woman.,0,1,0,0,0
I03T-gNNS-p045-r1,The man is delivered the package.,1,0,0,1,1
I03T-gNNS-p046-r1,He is passing a package to the woman.,1,1,1,1,1
I03T-gNNS-p047-r1,The woman is receiving a box from a man,0,0,1,1,1
I03T-gNNS-p048-r1,He is delivering packages.,1,1,1,1,1
I03T-gNNS-p049-r1,A woman is receiving a package from a mail person ,0,0,1,1,1
I03T-gNNS-p050-r1,The man is giving a woman a gift.,0,1,1,1,0
I03T-gNNS-p052-r1,A delivery man is delivering a red package to center desk.,1,0,0,1,0
I03T-gNNS-p053-r1,The man is handing over a package to the lady,1,1,1,1,1
I03T-gNNS-p054-r1,A man is sending a package to a woman. ,0,0,1,0,0
I03T-gNNS-p055-r1,The man is giving a box to a woman.,1,1,1,1,1
I03T-gNNS-p056-r1,The man is delivering a package to the woman.,1,1,1,1,1
I03T-gNNS-p059-r1,The man is delivering a package.,1,1,1,1,1
I03T-gNNS-p060-r1,He is passing a box to a woman.,1,1,1,1,1
I03T-gNNS-p061-r1,He is delivering a package to a woman.,1,1,1,1,1
I03T-gNNS-p062-r1,The man is looking the young lady.,0,1,0,1,1
I03T-gNNS-p063-r1,The young man is giving a box to a young lady.,1,0,1,1,1
I03T-gNNS-p064-r1,The man is handing a box to a woman.,1,1,1,1,1
I03T-gNNS-p067-r1,He is delivering a package.,1,1,1,1,1
I03T-gNNS-p068-r1,The Girl gets her package.,0,0,1,1,1
I03T-gNNS-p071-r1,The man is delivering a package.,1,1,1,1,1
I03T-gNNS-p073-r1,The man is giving the package to the woman.,1,1,1,1,1
I03T-gNNS-p076-r1,He is giving a box to the girl.,1,1,1,1,1
I03T-gNNS-p080-r1,The man is delivering a package.,1,1,1,1,1
I03T-gNNS-p084-r1,he is sending a package,0,1,1,1,0
I03T-gNNS-p085-r1,The man is handing a box to the lady.,1,1,1,1,1
I03T-gNNS-p088-r1,The man is passing a package to the woman.,1,1,1,1,1
I03T-gNNS-p089-r1,The man is delivering a package to the woman.,1,1,1,1,1
I03T-gNNS-p090-r1,The man is giving a package to a woman.,1,1,1,1,1
I03T-gNNS-p091-r1,The man is delivering.,0,1,1,0,1
I03T-gNNS-p092-r1,The man is giving the package to the woman.,1,1,1,1,1
I03T-gNNS-p093-r1,The man is giving the package to the female officer.,1,1,1,1,0
I03T-gNNS-p094-r1,The officer is receiving the package from the postman.,0,0,1,1,0
I03T-gNNS-p095-r1,He is sending the gift for the women.,0,1,1,0,0
I03T-gNNS-p096-r1,The man give a gift to female ,0,0,0,1,0
I03T-gNNS-p097-r1,His is handing the woman a package.,1,0,0,1,1
I03T-gNNS-p098-r1,The postman is giving a package to the lady.,1,0,1,1,1
I03T-gNNS-p100-r1,The man is delivering a package to the woman.,1,1,1,1,1
I03T-gNNS-p102-r1,The man is helping the girl to pick up her package.,0,1,1,1,0
I03T-gNNS-p103-r1,A man is passing a box to a young lady.,1,0,1,1,1
I03T-gNNS-p110-r1,He is giving the package to the woman.,1,1,1,1,1
I03T-gNNS-p113-r1,The man is handling a mailbox to the woman,0,1,0,1,0
I03T-gNNS-p115-r1,Sending package to a woman,0,1,0,0,0
I03T-gNNS-p117-r1,A package is delivered,0,0,1,0,1
I03T-gNNS-p120-r1,The man is passing the package to the lady.,1,1,1,1,1
I03T-gNNS-p121-r1,The man is giving a delivery to a woman.,1,1,1,1,1
I03T-gNNS-p126-r1,The man delivered one package to one female staff. ,1,0,1,1,1
I03T-gNNS-p129-r1,The man is delivering the package to the woman.,1,1,1,1,1
I03T-gNNS-p130-r1,The man is handing a package to a front desk lady,1,1,1,1,1
I03T-gNNS-p131-r1,The man is giving the box to the woman.,1,1,1,1,1
I03T-gNNS-p132-r1,The man is delivering a package,1,1,1,1,1
I03T-gNNS-p134-r1,The man is giving a package to a woman.,1,1,1,1,1
I03T-gNNS-p137-r1,The man is delivering a package.,1,1,1,1,1
I03T-gNNS-p138-r1,The man is giving the package to the woman.,1,1,1,1,1
I03T-gNNS-p139-r1,The man is delivering package.,1,1,0,1,1
