ResponseID,Response,Core,Answer,Gramm,Interp,Verif
I01T-gNSC-p152-r1,The boy appears to be dancing,1,1,1,1,1
I01T-gNSC-p152-r2,The boy appears to be moving his body in time to music,1,1,1,1,1
I01T-gNSC-p153-r1,He is dacing,0,1,0,0,1
I01T-gNSC-p153-r2,He is having a good time ,0,1,1,0,1
I01T-gNSC-p159-r1,The boy is dancing to music.,1,1,1,1,1
I01T-gNSC-p159-r2,The boy is having fun.,0,1,1,0,1
I01T-gNSC-p162-r1,Dancing,1,1,1,1,1
I01T-gNSC-p162-r2,Enjoying music,0,1,1,0,1
I01T-gNSC-p163-r1,He is dancing,1,1,1,1,1
I01T-gNSC-p163-r2,He is singing,0,1,1,1,0
I01T-gNSC-p168-r1,The boy is dancing.,1,1,1,1,1
I01T-gNSC-p168-r2,The boy is singing.,0,1,1,1,0
I01T-gNSC-p169-r1,the boy is dancing,1,1,1,1,1
I01T-gNSC-p169-r2,the boy likes music,0,0,1,0,1
I01T-gNSC-p170-r1,The boy is dancing,1,1,1,1,1
I01T-gNSC-p170-r2,The boy is dancing to music,1,1,1,1,1
I01T-gNSC-p171-r1,The lad is dancing.,1,0,1,1,1
I01T-gNSC-p171-r2,The young man is joyous.,0,0,1,1,1
I01T-gNSC-p172-r1,have fun,0,0,0,0,1
I01T-gNSC-p172-r2,do dance ,1,0,0,1,1
I01T-gNSC-p173-r1,He's doing a happy dance.,1,1,1,1,1
I01T-gNSC-p173-r2,He's enjoying the song.,0,1,1,0,1
I01T-gNSC-p174-r1,The boy is dancing to the music. ,1,1,1,1,1
I01T-gNSC-p174-r2,The boy is dancing to the rythm. ,1,1,1,1,1
I01T-gNSC-p175-r1,The boy is dancing.,1,1,1,1,1
I01T-gNSC-p175-r2,The music is enticing the boy to dance.,1,0,1,1,1
I01T-gNSC-p176-r1,Danceing,1,1,0,1,1
I01T-gNSC-p176-r2,Singing,0,1,1,1,0
I01T-gNSC-p177-r1,The boy is dancing.,1,1,1,1,1
I01T-gNSC-p177-r2,He is dancing to music.,1,1,1,1,1
I01T-gNSC-p181-r1,dancing,1,1,1,1,1
I01T-gNSC-p181-r2,dancing ,1,1,1,1,1
I01T-gNSC-p185-r1,The boy is dancing.,1,1,1,1,1
I01T-gNSC-p185-r2,He is listening to music.,0,1,1,1,1
I01T-gNSC-p187-r1,He's dancing.,1,1,1,1,1
I01T-gNSC-p187-r2,The boy is getting down.,1,1,1,0,1
I01T-gNSC-p190-r1,The boy is dancing.,1,1,1,1,1
I01T-gNSC-p190-r2,He is dancing.,1,1,1,1,1
I01T-gNSC-p192-r1,The boy is dancing.,1,1,1,1,1
I01T-gNSC-p192-r2,The boy is dancing to music.,1,1,1,1,1
I01T-gNSC-p199-r1,The boy is dancing happily.,1,1,1,1,1
I01T-gNSC-p199-r2,The boy is listening to music while happily dancing.,1,1,1,1,1
I01T-gNSC-p202-r1,The boy is dancing.,1,1,1,1,1
I01T-gNSC-p202-r2,The boy is celebrating,0,1,1,0,0
I01T-gNSC-p204-r1,This boy appears to be dancing.,1,0,1,1,1
I01T-gNSC-p204-r2,This man appears to be dancing because he is happy.,1,0,1,1,1
I01T-gNSC-p209-r1,DANCING,1,1,1,1,1
I01T-gNSC-p209-r2,GETTING HIS GROOVE ON,0,1,1,0,1
I01T-gNSC-p211-r1,This boy is enjoying the music.,0,0,1,0,1
I01T-gNSC-p211-r2,This boy enjoys dancing to his favorite tune.,1,0,1,1,0
I01T-gNSC-p212-r1,He's rocking out. ,0,1,1,0,1
I01T-gNSC-p212-r2,He's grooving. ,1,1,1,1,1
I01T-gNSC-p213-r1,The boy is dancing a jig,1,1,1,1,0
I01T-gNSC-p213-r2,The boy is enjoying himself.,0,1,1,0,1
I01T-gNSC-p215-r1,The boy is dancing.,1,1,1,1,1
I01T-gNSC-p215-r2,He is dancing.,1,1,1,1,1
I01T-gNSC-p216-r1,dancing,1,1,1,1,1
I01T-gNSC-p216-r2,he is dancing to music,1,1,1,1,1
I01T-gNSC-p217-r1,The boy is dancing.,1,1,1,1,1
I01T-gNSC-p217-r2,The kid is grooving.,1,0,1,1,1
I01T-gNSC-p220-r1,The boy is dancing.,1,1,1,1,1
I01T-gNSC-p220-r2,The boy is celebrating.,0,1,1,0,0
I01T-gNSC-p222-r1,Dancing,1,1,1,1,1
I01T-gNSC-p222-r2,The boy is dancing,1,1,1,1,1
I01T-gNSC-p224-r1,He is dancing to music.,1,1,1,1,1
I01T-gNSC-p224-r2,He enjoys dancing to music.,1,0,1,1,1
