I28TU,I28TU_Gramm
the man is pointing out direction for the woman,0
the girl is asking the route,5
the girl is asking the direction,0
the man is giving a direction to a woman,1
the man is giving direction to tourist,0
a man is helping a tourist to get to her destination,1
the girl is asking the man to help her to find a place,1
the man and a woman is looking a map,0
the man is telling the way to the woman who gets lost and holds a map,0
the man is pointing the direction to the girl,0
the couple is looking the map and talking about which is the wight way,0
a pair of young couples get lost in amazon rainforest,0
a man is helping a woman to find the route,1
a women is asking for directions and the man is directing the road,0
the woman with a blue bag on her back is reading a map with a man pointing the direction,5
a man is helping a woman,1
those two people are reading the map to find the correct way,1
the man is directing the tourist how to walk,1
the man is pointing the way to the woman,1
the man is trying to lead the way to the woman to tell her where she should go,5
the man is telling directions to the woman,1
a female traveler is asking a man for direction,1
a stranger is pointing a right way to a traveller,5
the man is guiding the route that the girl should go by using a map,5
the man is pointing the direction they prepare to go,0
a man is telling a woman how to go to a place,1
the man is point a way to a woman and tell her where to go,0
the man is showing the girl direction on where she should go following by the map,0
the man is guiding the women to where she wants to go,5
a man is telling the woman where she should go,1
the young man is directing the woman to the place she want to go,0
the man is guiding way to the woman,0
two travelers are searching on a map and trying to find the directions,1
the man is pointing directions for the woman,0
the man is telling the woman how to go the the place she is looking for,0
father is teaching his daughter,1
the man is giving the directions to the tourist,1
the man is pointing the way for the woman,1
a man is telling a woman how to get to the place on the map,1
the woman is asking to a man about which way she should go,0
they are watching the map in order to seek for the directions,5
the man is showing the girl right direction to go,0
a man and a woman is looking at the map to find the direction,0
a man is giving a direction to a woman,1
the man is telling the direction to a woman,1
the girl is asking a local people a way,0
the man is showing the direction to the woman and talking about the map,1
the woman is asking for direction,1
the man is giving direction to the woman,1
the man is telling the road for the girl,0
the man is giving a guide to the traveler,1
the woman is asking the man for direction,1
the couple are looking at the map,1
the man is pointing the way to the girl,1
a man and a woman is finding their direction,0
two tourists are trying to find a right way to somewhere,1
a man is telling a girl how to use the map,1
a man is helping with a tourist find the road on a map,0
a man is teaching a female tourist how to find the way,1
a man is pointing the way for the women,1
the man is pointing the map to the girl,0
a man and a woman are looking at the map and deciding where to go,1
one man is posting a direction to a girl who has map in her hand,0
