ResponseID,Response,Core,Answer,Gramm,Interp,Verif
I09T-gNSF-p142-r1,The girl is riding a horse.,1,1,1,1,1
I09T-gNSF-p142-r2,The girl is riding on a pony.,1,1,1,1,1
I09T-gNSF-p145-r1,She is riding a horse. ,1,1,1,1,1
I09T-gNSF-p145-r2,The girl is horseback riding. ,1,1,1,1,1
I09T-gNSF-p146-r1,The girl is riding the horse.,1,1,1,1,1
I09T-gNSF-p146-r2,The girl is trotting on a horse.,1,1,1,1,1
I09T-gNSF-p147-r1,The girl is riding a horse. ,1,1,1,1,1
I09T-gNSF-p147-r2,The girl is riding the horse. ,1,1,1,1,1
I09T-gNSF-p148-r1,The girl is riding a horse.,1,1,1,1,1
I09T-gNSF-p148-r2,The girl is on a horse.,1,0,1,1,1
I09T-gNSF-p149-r1,The girl is riding a horse. ,1,1,1,1,1
I09T-gNSF-p149-r2,The girl is enjoying a horseback ride while wearing a full jockey uniform. ,1,1,1,1,1
I09T-gNSF-p150-r1,The girl is riding a horse. ,1,1,1,1,1
I09T-gNSF-p150-r2,The girl is horseback riding. ,1,1,1,1,1
I09T-gNSC-p152-r1,The girl appears to be seated on a moving horse holding the reins,1,1,1,1,1
I09T-gNSC-p152-r2,The girl appears to be engaged in dressage,1,0,1,1,1
I09T-gNSC-p159-r1,The girl is riding a horse.,1,1,1,1,1
I09T-gNSC-p163-r1,Learning how to ride a horse English style,1,1,1,1,1
I09T-gNSC-p168-r1,The girl is riding her horse.,1,1,1,1,1
I09T-gNSC-p169-r1,the girl is riding a horse,1,1,1,1,1
I09T-gNSC-p169-r2,the girl is on a horse,1,0,1,1,1
I09T-gNSC-p170-r1,The girl is riding a horse,1,1,1,1,1
I09T-gNSC-p173-r1,She is riding the pony.,1,1,1,1,1
I09T-gNSC-p174-r1,She is riding a horse.,1,1,1,1,1
I09T-gNSC-p174-r2,She is riding a horse.,1,1,1,1,1
I09T-gNSC-p175-r1,The girl is horseback riding.,1,1,1,1,1
I09T-gNSC-p175-r2,The girl is riding a horse.,1,1,1,1,1
I09T-gNSC-p176-r1,Riding a hotse,1,1,0,1,1
I09T-gNSC-p177-r1,She is riding a horse.,1,1,1,1,1
I09T-gNSC-p177-r2,The girl is trotting on a horse.,1,1,1,1,1
I09T-gNSC-p187-r1,She's riding a horse.,1,1,1,1,1
I09T-gNSC-p190-r1,The girl is riding a horse.,1,1,1,1,1
I09T-gNSC-p190-r2,She is riding a horse.,1,1,1,1,1
I09T-gNSC-p192-r1,The young girl is riding a horse.,1,0,1,1,1
I09T-gNSC-p199-r1,The girl is horseback riding.,1,1,1,1,1
I09T-gNSC-p199-r2,The girl is trying to learn how to horse ride.,1,1,1,1,0
I09T-gNSC-p202-r1,The girl is riding a horse.,1,1,1,1,1
I09T-gNSC-p202-r2,She's horseback-riding.,1,1,1,1,1
I09T-gNSC-p209-r1,DRESSAGE,1,1,1,1,1
I09T-gNSC-p212-r2,She's riding a horse. ,1,1,1,1,1
I09T-gNSC-p213-r1,The girl is riding a horse. ,1,1,1,1,1
I09T-gNSC-p215-r1,The girl is riding a horse.,1,1,1,1,1
I09T-gNSC-p215-r2,She is horseback riding.,1,1,1,1,1
I09T-gNSC-p216-r1,horse back riding,1,1,1,1,1
I09T-gNSC-p216-r2,riding a horse,1,1,1,1,1
I09T-gNSC-p217-r1,The girl is riding a horse.,1,1,1,1,1
I09T-gNSC-p217-r2,The girl is trotting the horse.,1,1,1,1,1
I09T-gNSC-p220-r1,The girl is riding a horse.,1,1,1,1,1
I09T-gNSC-p222-r1,Horseback riding,1,1,1,1,1
I09T-gNSC-p222-r2,Riding a horse,1,1,1,1,1
I09T-gNSC-p224-r1,The girl is horseback riding.,1,1,1,1,1
I09T-gNSC-p224-r2,The girl is riding a horse.,1,1,1,1,1
I09T-gNSC-p226-r1,The girl is riding a horse.,1,1,1,1,1
I09T-gNSC-p226-r2,The horse is trotting with the girl.,1,0,1,1,1
I09T-gNSC-p230-r1,The girl is riding a horse. ,1,1,1,1,1
I09T-gNSC-p231-r1,The girl is riding a horse.,1,1,1,1,1
I09T-gNSC-p231-r2,The girl is riding and talking to the horse. ,1,1,1,1,0
I09T-gNSC-p235-r1,The girl is riding a horse.,1,1,1,1,1
I09T-gNSC-p236-r1,She is riding a horse. ,1,1,1,1,1
I09T-gNSC-p236-r2,The little girl is riding her horse. ,1,0,1,1,1
I09T-gNSC-p244-r1,The girl is horseback riding. ,1,1,1,1,1
I09T-gNSC-p244-r2,The girl is riding a horse. ,1,1,1,1,1
I09T-gNSC-p245-r1,The girl is riding a horse.,1,1,1,1,1
I09T-gNSC-p245-r2,She is traveling by horse.,1,1,1,1,1
I09T-gNSC-p247-r1,The girl is riding a horse.,1,1,1,1,1
I09T-gNSC-p249-r1,The girl is riding a horse.,1,1,1,1,1
I09T-gNSC-p249-r2,The girl is happy riding the horse.,1,1,1,1,1
I09T-gNSC-p252-r1,riding a horse,1,1,1,1,1
I09T-gNSC-p253-r1,riding a horse,1,1,1,1,1
I09T-gNSC-p253-r2,sitting on a horse,1,1,1,1,1
I09T-gNSC-p254-r1,Riding a horse,1,1,1,1,1
I09T-gNSC-p254-r2,Riding a horse looking ahead,1,1,1,1,1
I09T-gNSC-p255-r1,The girl is riding a horse,1,1,1,1,1
I09T-gNSC-p255-r2,The girl is making to horse gallop.,1,1,0,1,1
I09T-gNSC-p258-r2,The girl is ridding her favorite horse.,1,1,0,1,1
I09T-gNSC-p260-r1,riding a horse,1,1,1,1,1
I09T-gNSC-p261-r1,The girl is horseback riding. ,1,1,1,1,1
I09T-gNSC-p261-r2,The girl is riding a horse.,1,1,1,1,1
I09T-gNSC-p262-r1,She is riding a horse ,1,1,1,1,1
I09T-gNSC-p264-r2,The girl is riding the horse,1,1,1,1,1
I09T-gNSC-p270-r1,She is riding a horse.,1,1,1,1,1
I09T-gNSC-p270-r2,She is sitting on a horse.,1,1,1,1,1
I09T-gNSC-p271-r1,The girl is riding a horse. ,1,1,1,1,1
I09T-gNSC-p271-r2,The girl is trotting on a horse. ,1,1,1,1,1
I09T-gNSC-p274-r1,The girl is riding a horse.,1,1,1,1,1
I09T-gNSC-p274-r2,The horse riding girl is happy.,1,0,1,1,1
I09T-gNSC-p276-r1,The girl is riding a horse.,1,1,1,1,1
I09T-gNSC-p276-r2,She is doing equestrian ,1,1,1,1,1
I09T-gNSC-p277-r1,The girl is riding a horse.,1,1,1,1,1
I09T-gNSC-p282-r1,The girl is riding a horse.,1,1,1,1,1
I09T-gNSC-p282-r2,"The girl is riding a horse, English style.",1,1,1,1,1
I09T-gNSF-p293-r1,The girl is riding on the horse.,1,1,1,1,1
I09T-gNSF-p293-r2,She is trotting the horse.,1,1,1,1,1
I09T-gNSF-p299-r1,The girl is riding a horse.,1,1,1,1,1
I09T-gNSF-p299-r2,The girl is on horseback.,1,0,1,1,1
I09T-gNSF-p301-r1,The girl is riding a horse.,1,1,1,1,1
I09T-gNSF-p302-r1,The girl is riding a horse.,1,1,1,1,1
I09T-gNSF-p302-r2,The girl is practicing equestrian.,1,1,1,1,1
I09T-gNSF-p303-r1,The girl is riding her pony.,1,1,1,1,1
I09T-gNSF-p306-r1,The girl is riding her horse.,1,1,1,1,1
I09T-gNSF-p495-r1,She is riding a horse.,1,1,1,1,1
I09T-gNSF-p496-r1,The girl is riding a skeptical horse.,1,1,1,1,1
I09T-gNSF-p497-r1,She's riding a horse.,1,1,1,1,1
I09T-gNSF-p497-r2,She's horseback riding.,1,1,1,1,1
