I06U,I06U_Answer
the boy holding a package of fruit,1
the boy is carrying a bag of fruits,1
he is laughing,1
the boy is holding a bag,1
the boy is holding his groceries,1
"the boy is holding a package, which contains many fruits",1
the boy caring some vegetables ad fruits and seems very happy,1
he is holding the shopping bag,1
the boy just brought some fruit and he is taking these fruit to home,1
he is carrying some fruit,1
the boy is taking a lots of fruits,1
the boy is walking with holding a paper bag which is filled with fruits,1
the boy is carrying some fruit,1
he is carrying a bag filled with a lot of fruits,1
the boy is holding a bag of fruits,1
the boy is carrying groceries,1
the boy is carrying a bag of food,1
the boy is just finishing shopping,1
the boy is holding a bag of grocery,1
the boy is grabbing a bag of fruits,1
the boy is holding a bag of food,1
he is walking and carrying a big bag,1
the boy is holding a package of food,1
the boy is laughing,1
the boy is holding a bag that is full of all kinds of fruits,1
the boy is holding a big grocery bag,1
he is carrying a bunch of fruits,1
he is walking with a bag of fruit,1
he is holding a bag of groceries and walking,1
he is holding a bunch of fruit,1
the boy is grabing a bag with fruits,1
the boy holding the bags with the fruits and vegetables,1
the boy is walking with fruits,1
the boy is helping carrying staff for his mom,1
"the boy is holding a big bag of banana, pineapple and else",1
the boy is holding the bag which is full of fruits,1
the boy is carrying a bag of fruit,1
the boy is carrying the fruits,1
the boy is holding a package of fruits,1
the boy is holding a bag of fruit,1
the boy is holding a bag that is full of different kinds of fruits,1
he is packing the package,1
the boy is carrying lots of fruits,1
the boy is carrying a huge bag of fruits and candies,1
the boy is hugging a large amount of fruits,1
he is holding one shopping bag which full of fruits,1
the boy with big smile is carrying a hug bag of fruit,1
the boy is carrying a bag that filled with fruits,1
the boy is holding lots of fruits,1
the boy is carrying the groceries,1
the boy is carrying a bag filled with fruit,1
the boy is carrying many fruits with very happy emotion,1
the boy is holding a large bag of food,1
he is carrying a grocery bag,1
the boy is carrying a grocery bag,1
the boy is carrying a bag of groceries,1
"the boy is thrilled to be carrying a paper bag full of groceries that includes bananas, a pineapple, and other products",1
the boy is walking with groceries,1
"he is walking, while holding a grocery bag",1
the boy is shopping,1
the boy is missing the embrace of a loved one,1
he is holding a large bag of fruits and vegetables,1
he is carrying a bag of food,1
he is holding the brown bag,1
he is carrying a bag of groceries,1
he is grocery shopping,1
the boy is happily carrying a bag of groceries,1
he is holding lots of fruit and things,1
he's carrying a bag of groceries,1
he's bringing some groceries,1
the boy appears to be carrying a paper bag full of tropical fruits,1
he is walking,1
the boy is carrying grocery,1
he is helping bring the groceries into the house,1
he is helping someone with their groceries,1
the boy is cheerfully helping his mother,1
he's helping mom carry in the groceries,1
the boy is carrying a big bag of groceries,1
he is carrying groceries,1
he's carrying groceries,1
he is helping carry the groceries,1
the boy is carrying some groceries,1
the boy is trying to hold this gigantic bag of fruit for his mom,1
the boy is bringing home the groceries,1
the boy is helping his mom,1
helping carry groceries in the house,1
carrying groceries to the car,1
he's carrying the groceries,1
he's bringing in the groceries,1
the boy is helping his mother after coming home from the store,1
he is holding a bag of groceries,1
he is carrying a package,1
the boy is bringing in a bag of groceries,1
the boy is taking groceries home,1
the boy is delivering groceries,1
the boy is hugging his groceries,1
the boy is helping with chores,1
the boy is carrying a bag,1
the child is helping his mom,1
the boy is walking,1
the boy is carrying bags,1
he is carrying food in a paper bag,1
the boy is helping carry groceries,1
the boy is holding the grocery bag,1
he is carrying a bag of fruits and vegetables,1
the boy is carrying home a bag of groceries,1
the boy is happy because he's carrying a bag of his favorite foods,1
he is carrying a bag,1
he is coming home from food shopping,1
the boy is lugging the groceries,1
"helping his parent, the boy is carrying groceries",1
the boy is bringing groceries,1
the boy is happy to be useful while helping to unload groceries,1
the boy is returning from the store,1
