ResponseID,Response,Core,Answer,Gramm,Interp,Verif,parse,ldh,xdh,xdx,AnnoScore
I11T-gNSC-p209-r1,WHY HE CANT STAY UP LATER,0,0,0,0,0,"1	why	_	WRB	WRB	_	6	dep	_	_
2	he	_	NNP	NNP	_	6	nn	_	_
3	cant	_	NNP	NNP	_	6	nn	_	_
4	stay	_	NNP	NNP	_	6	nn	_	_
5	up	_	NNP	NNP	_	6	nn	_	_
6	later	_	NNP	NNP	_	0	root	_	_
7	.	_	.	.	_	6	punct	_	_","['dep$@%why$@%later', 'nn$@%he$@%later', 'nn$@%cant$@%later', 'nn$@%stay$@%later', 'nn$@%up$@%later', 'root$@%later$@%VROOT', 'punct$@%.$@%later']","['x$@%why$@%later', 'x$@%he$@%later', 'x$@%cant$@%later', 'x$@%stay$@%later', 'x$@%up$@%later', 'x$@%later$@%VROOT', 'x$@%.$@%later']","['x$@%why$@%x', 'x$@%he$@%x', 'x$@%cant$@%x', 'x$@%stay$@%x', 'x$@%up$@%x', 'x$@%later$@%x', 'x$@%.$@%x']",0
I11T-gNSC-p262-r1,The young boy is asking a question,1,0,1,0,1,"1	the	_	DT	DT	_	3	det	_	_
2	young	_	JJ	JJ	_	3	amod	_	_
3	boy	_	NN	NN	_	5	nsubj	_	_
4	be	_	VBZ	VBZ	_	5	aux	_	_
5	ask	_	VBG	VBG	_	0	root	_	_
6	a	_	DT	DT	_	7	det	_	_
7	question	_	NN	NN	_	5	dobj	_	_
8	.	_	.	.	_	5	punct	_	_","['det$@%the$@%boy', 'amod$@%young$@%boy', 'nsubj$@%boy$@%ask', 'aux$@%be$@%ask', 'root$@%ask$@%VROOT', 'det$@%a$@%question', 'dobj$@%question$@%ask', 'punct$@%.$@%ask']","['x$@%the$@%boy', 'x$@%young$@%boy', 'x$@%boy$@%ask', 'x$@%be$@%ask', 'x$@%ask$@%VROOT', 'x$@%a$@%question', 'x$@%question$@%ask', 'x$@%.$@%ask']","['x$@%the$@%x', 'x$@%young$@%x', 'x$@%boy$@%x', 'x$@%be$@%x', 'x$@%ask$@%x', 'x$@%a$@%x', 'x$@%question$@%x', 'x$@%.$@%x']",0.683
I11T-gNSC-p192-r1,The boy is asking his dad a question.,1,1,1,1,1,"1	the	_	DT	DT	_	2	det	_	_
2	boy	_	NN	NN	_	4	nsubj	_	_
3	be	_	VBZ	VBZ	_	4	aux	_	_
4	ask	_	VBG	VBG	_	0	root	_	_
5	he	_	PRP$	PRP$	_	6	poss	_	_
6	dad	_	NN	NN	_	4	dep	_	_
7	a	_	DT	DT	_	8	det	_	_
8	question	_	NN	NN	_	4	dobj	_	_
