ResponseID,Response,Core,Answer,Gramm,Interp,Verif
I21T-gNSF-p143-r1,The boy is throwing the ball to the girl.,1,1,1,1,1
I21T-gNSF-p143-r2,The boy is playing ball with a girl.,1,1,1,1,1
I21T-gNSF-p144-r1,The boy tossed the beachball to the girl.,1,0,1,1,1
I21T-gNSF-p144-r2,The boy played catch with the girl. ,1,0,1,1,1
I21T-gNSF-p151-r1,The boy is playing catch with the girl.,1,1,1,1,1
I21T-gNSF-p151-r2,He is throwing her a ball.,1,1,1,1,1
I21T-gNSF-p294-r1,The boy is throwing the ball.,1,1,1,1,1
I21T-gNSF-p294-r2,He is throwing the ball to the girl.,1,1,1,1,1
I21T-gNSF-p295-r1,The boy is throwing a ball.,1,1,1,1,1
I21T-gNSF-p296-r1,The boy is tossing the ball to the girl.,1,1,1,1,1
I21T-gNSF-p296-r2,He is playing catch with the girl.,1,1,1,1,1
I21T-gNSF-p297-r1,The boy is throwing the ball.,1,1,1,1,1
I21T-gNSF-p298-r2,The boy is playing with the ball.,1,1,1,1,1
I21T-gNSF-p304-r1,The boy threw the ball.,1,0,1,1,1
I21T-gNSF-p304-r2,The boy tossed the ball to the girl.,1,0,1,1,1
I21T-gNSF-p305-r1,He is playing catch with a girl.,1,1,1,1,1
I21T-gNSF-p305-r2,He is tossing the ball to the girl.,1,1,1,1,1
I21T-gNSC-p307-r1,The boy is throwing the ball.,1,1,1,1,1
I21T-gNSC-p308-r1,The boy is playing ball with his friend.,1,1,1,1,1
I21T-gNSC-p308-r2,The boy has passed the beach ball to his friend.,1,0,1,1,1
I21T-gNSC-p309-r1,The boy is throwing the ball to the girl.,1,1,1,1,1
I21T-gNSC-p309-r2,The boy is playing catch with a beach ball.,1,1,1,1,1
I21T-gNSC-p310-r1,The boy is hitting the ball to the girl.,1,1,1,1,1
I21T-gNSC-p310-r2,The boy is getting ready to hit the ball back to the girl.,1,1,1,1,1
I21T-gNSC-p313-r1,Throwing the ball,1,1,1,1,1
I21T-gNSC-p314-r1,Throwing the ball,1,1,1,1,1
I21T-gNSC-p315-r1,throwing the ball,1,1,1,1,1
I21T-gNSC-p317-r1,The boy is throwing the ball.,1,1,1,1,1
I21T-gNSC-p317-r2,The boy is playing catch with the girl.,1,1,1,1,1
I21T-gNSC-p318-r1,These children are playing catch,1,0,1,1,1
I21T-gNSC-p319-r2,throwing a ball,1,1,1,1,1
I21T-gNSC-p320-r1,playing ball,1,1,1,1,1
I21T-gNSC-p320-r2,throwing the ball to the girl,1,1,1,1,1
I21T-gNSC-p321-r2,He's playing with a beach ball.,1,1,1,1,1
I21T-gNSC-p327-r1,The boy is throwing the ball.,1,1,1,1,1
I21T-gNSC-p328-r1,The boy is tossing the ball to the girl.,1,1,1,1,1
I21T-gNSC-p328-r2,He is throwing the ball. ,1,1,1,1,1
I21T-gNSC-p329-r1,Throwing a ball to the girl,1,1,1,1,1
I21T-gNSC-p329-r2,Playing catch with the girl,1,1,1,1,1
I21T-gNSC-p330-r1,The boy is throwing a ball.,1,1,1,1,1
I21T-gNSC-p331-r1,The boy is throwing the ball.,1,1,1,1,1
I21T-gNSC-p332-r1,The children are playing ball in the park.,1,0,1,1,1
I21T-gNSC-p332-r2,The boy has tossed the ball to the girl.,1,0,1,1,1
I21T-gNSC-p333-r1,Boy is throwing a ball to the girl,1,0,0,1,1
I21T-gNSC-p333-r2,The boy and girl are playing catch together,1,0,1,1,1
I21T-gNSC-p335-r2,The boy is passing the ball to a girl.,1,1,1,1,1
I21T-gNSC-p339-r1,The boy is throwing the ball to the girl.,1,1,1,1,1
I21T-gNSC-p339-r2,He is throwing the ball.,1,1,1,1,1
I21T-gNSC-p340-r1,Throwing a ball,1,1,1,1,1
I21T-gNSC-p342-r1,A boy and a girl are playing catch.,1,0,1,1,1
I21T-gNSC-p342-r2,A boy and a girl are throwing a ball back and forth.,1,0,1,1,1
I21T-gNSC-p346-r1,The boy is throwing a ball.,1,1,1,1,1
I21T-gNSC-p347-r1,Playing catch with the girl.,1,1,1,1,1
I21T-gNSC-p350-r2,The kids are tossing a ball.,1,0,1,1,1
I21T-gNSC-p351-r1,The boy is throwing the ball. ,1,1,1,1,1
I21T-gNSC-p353-r1,The girl reaches to get the ball as he throws it high.,1,0,1,1,1
I21T-gNSC-p354-r1,Playing catch with a girl.,1,1,1,1,1
I21T-gNSC-p354-r2,Having fun with a ball.,1,1,1,1,1
I21T-gNSC-p357-r1,Threwing ball,1,1,0,1,1
I21T-gNSC-p360-r1,The boy is throwing the ball to the girl,1,1,1,1,1
I21T-gNSC-p360-r2,The boy is playing ball with the girl,1,1,1,1,1
I21T-gNSC-p361-r1,The boy is tossing a ball.,1,1,1,1,1
I21T-gNSC-p361-r2,The boy is throwing the ball to the girl. ,1,1,1,1,1
I21T-gNSC-p362-r1,The boy is throwing the ball.,1,1,1,1,1
I21T-gNSC-p362-r2,The boy is playing catch with the girl.,1,1,1,1,1
I21T-gNSC-p369-r1,The boy is throwing a ball. ,1,1,1,1,1
I21T-gNSC-p369-r2,The boy has thrown the ball. ,1,0,1,1,1
I21T-gNSC-p372-r1,He is throwing the ball,1,1,1,1,1
I21T-gNSC-p381-r1,He is playing catch.,1,1,1,1,1
I21T-gNSC-p381-r2,The boy is throwing the ball to the girl.,1,1,1,1,1
I21T-gNSC-p382-r1,The boy is throwing the ball.,1,1,1,1,1
I21T-gNSC-p384-r1,The boy is throwing a ball.,1,1,1,1,1
I21T-gNSC-p384-r2,The boy is tossing a ball.,1,1,1,1,1
I21T-gNSC-p388-r1,The boy is throwing the ball.,1,1,1,1,1
I21T-gNSC-p388-r2,The boy is playing catch with a girl.,1,1,1,1,1
I21T-gNSC-p389-r1,The boy is playing catch with his sister.,1,1,1,1,1
I21T-gNSC-p391-r1,The boy is tossing the beachball,1,1,1,1,1
I21T-gNSC-p391-r2,The boy is tossing the beachball to a girl,1,1,1,1,1
I21T-gNSC-p392-r1,Playing ball.,1,1,1,1,1
I21T-gNSC-p392-r2,Playing catch.,1,1,1,1,1
I21T-gNSC-p395-r1,The boy is throwing a ball.,1,1,1,1,1
I21T-gNSC-p395-r2,The boy is playing catch.,1,1,1,1,1
I21T-gNSC-p398-r2,He just threw the ball to the girl.,1,0,1,1,1
I21T-gNSC-p400-r1,The boy is throwing the ball to a friend.,1,1,1,1,1
I21T-gNSC-p400-r2,The boy is playing ball with a girl.,1,1,1,1,1
I21T-gNSC-p404-r1,The boy is throwing the ball.,1,1,1,1,1
I21T-gNSC-p404-r2,The boy is playing catch. ,1,1,1,1,1
I21T-gNSC-p406-r1,The boy is throwing a beach ball. ,1,1,1,1,1
I21T-gNSC-p406-r2,He's playing catch. ,1,1,1,1,1
