ResponseID,Response,Core,Answer,Gramm,Interp,Verif
I08U-gNSF-p143-r1,The waiter is serving a turkey to the woman. ,1,1,1,1,1
I08U-gNSF-p151-r1,The waiter is server the woman dinner.,1,0,0,1,1
I08U-gNSF-p294-r1,The man is presenting a beautifully cooked turkey for the woman's inspection.,1,1,1,1,1
I08U-gNSF-p295-r1,The woman is having dinner.,0,1,1,1,1
I08U-gNSF-p296-r1,The waiter is bringing the lady a cooked turkey.,1,1,1,1,1
I08U-gNSF-p297-r1,That woman is about to eat a whole bird.,0,1,1,1,1
I08U-gNSF-p298-r1,She has been stood up.,0,0,1,0,0
I08U-gNSF-p304-r1,The waiter presented the roasted bird.,1,0,1,1,1
I08U-gNSF-p305-r1,The waiter is delivering food.,1,1,1,1,1
I08U-gNSC-p322-r1,She is having dinner alone in a fancy restaurant. ,0,1,1,1,1
I08U-gNSC-p325-r1,The woman is sitting down to a turkey dinner,0,1,1,1,1
I08U-gNSC-p334-r1,A waiter shows his manager a cooked turkey to prove his arm strength. ,0,0,1,1,0
I08U-gNSC-p343-r1,The husband have fix a chicken dinner for two to him and his wife,0,0,0,1,0
I08U-gNSC-p344-r1,woman is eating alone,0,1,0,1,1
I08U-gNSC-p349-r1,A waiter is serving dinner to a patron.,1,1,1,1,1
I08U-gNSC-p352-r1,A woman is being served dinner. ,1,1,1,0,1
I08U-gNSC-p355-r1,A waiter is serving dinner.,1,1,1,1,1
I08U-gNSC-p356-r1,A man is serving a turkey dinner. ,1,1,1,1,1
I08U-gNSC-p358-r1,A women at a restaurant ,0,0,0,0,0
I08U-gNSC-p359-r1,The lady ordered a turkey dinner.,0,0,1,0,1
I08U-gNSC-p363-r1,The woman's husband is role playing as a server for date night. ,0,1,1,0,0
I08U-gNSC-p364-r1,The waiter is bringing a roasted turkey to the woman.,1,1,1,1,1
I08U-gNSC-p365-r1,This woman is about to eat a huge dinner all by herself.,0,1,1,1,1
I08U-gNSC-p367-r1,A waiter serving food.,1,1,1,1,1
I08U-gNSC-p370-r1,A waiter is bringing a turkey to a table,1,1,1,1,1
I08U-gNSC-p374-r1,The waiter is serving the diner a turkey or chicken.,1,1,1,1,1
I08U-gNSC-p377-r1,eating,0,0,1,0,0
I08U-gNSC-p379-r1,"A server brings an entire turkey to the woman's table,", , , , , 
I08U-gNSC-p380-r1,Chef fix chicken to the lady,0,0,0,0,0
I08U-gNSC-p383-r1,The woman is being served an entire turkey with no plate or silverware.,1,1,1,0,1
I08U-gNSC-p385-r1,DINNER IS SERVED. ,0,0,1,0,1
I08U-gNSC-p387-r1,She is about to eat dinner.,0,1,1,1,1
I08U-gNSC-p390-r1,A waiter is serving a turkey.,1,1,1,1,1
I08U-gNSC-p393-r1,A waiter is serving a whole turkey.,1,1,1,1,1
I08U-gNSC-p394-r1,The woman is being served dinner,1,1,1,0,1
I08U-gNSC-p396-r1,A women is eating in a restaurant,0,1,0,0,0
I08U-gNSC-p401-r1,The waiter brings a steaming hot turkey to his client.,1,0,1,1,1
I08U-gNSC-p405-r1,A waiter is serving dinner. ,1,1,1,1,1
I08U-gNSC-p407-r1,The lady is being served a turkey ,1,1,1,0,1
I08U-gNSC-p409-r1,A waiter is serving turkey to a customer.,1,1,1,1,1
I08U-gNSC-p410-r1,The waiter has brought the woman a turkey.,1,0,1,1,1
I08U-gNSC-p411-r1,A waiter is serving a chicken/turkey to a female customer.,1,1,1,1,1
I08U-gNSC-p413-r1,The waiter serves a meal.,1,0,1,1,1
I08U-gNSC-p416-r1,Waiter delivering dinner to a guest,1,1,0,1,1
I08U-gNSC-p417-r1,The woman receives her dinner,1,0,1,0,1
I08U-gNSC-p418-r1,A waiter is delivering food to a table.,1,1,1,1,1
I08U-gNSC-p420-r1,A waiter is serving a whole roasted turkey to a woman.,1,1,1,1,1
I08U-gNSC-p423-r1,A turkey is being served. ,0,1,1,0,1
I08U-gNSC-p424-r1,Woman is eating a turkey dinner all alone. ,0,1,1,1,1
I08U-gNSC-p429-r1,A waiter delivers a woman her meal,1,0,1,1,1
I08U-gNSC-p431-r1,I Wallman out eating,0,0,0,0,0
I08U-gNSC-p433-r1,The waiter is serving the woman.,1,1,1,1,1
I08U-gNSC-p435-r1,eating alone,0,0,1,0,0
I08U-gNSC-p436-r1,A woman is being served dinner.,1,1,1,0,1
I08U-gNSC-p438-r1,The waiter is bringing the woman a chicken.,1,1,1,1,1
I08U-gNSC-p447-r1,A waiter is bringing food at a table.,1,1,1,1,1
I08U-gNSC-p448-r1,The waiter presents the diner with her main dish.,1,1,1,1,1
I08U-gNSC-p450-r1,waiter serving turkey,1,1,0,1,1
I08U-gNSC-p451-r1,The woman is about to eat turkey.,0,1,1,1,1
I08U-gNSC-p452-r1,The lady is eating for one at her favorite restaurant. ,0,1,1,1,0
I08U-gNSC-p453-r1,The waiter is bringing the lady her turkey.,1,1,1,1,1
I08U-gNSC-p455-r1,The server brings the woman her food.,1,0,1,1,1
I08U-gNSC-p456-r1,The woman is being served a cooked chicken by a waiter.,1,1,1,1,1
I08U-gNSC-p457-r1,The waiter is serving the woman her dinner. ,1,1,1,1,1
I08U-gNSC-p460-r1,The woman receives a cooked turkey from a waiter.,1,0,1,1,1
I08U-gNSC-p461-r1,The man is serving the lady a delicious meal. ,1,1,1,1,0
I08U-gNSC-p462-r1,A waiter is delivering food to a patron.,1,1,1,1,1
I08U-gNSC-p467-r1,A very hungry woman is receiving her meal.,1,1,1,0,0
I08U-gNSC-p469-r1,A man serves food to a woman.,1,0,1,1,1
I08U-gNSC-p472-r1,The waiter is delivering a roasted turkey to the lady at the table.,1,1,1,1,1
I08U-gNSC-p477-r1,Her order is being delivered to the table. ,1,1,1,1,1
I08U-gNSC-p479-r1,A woman is about to eat a whole freaking turkey.,0,1,1,1,1
I08U-gNSC-p482-r1,The woman has ordered Animal flesh.,0,0,1,0,1
I08U-gNSC-p483-r1,The waiter serves dinner to the woman.,1,0,1,1,1
I08U-gNSC-p485-r1,The waiter brings the food.,1,0,1,1,1
I08U-gNSC-p486-r1,"""Your dinner is served, madam."". ",0,0,1,0,0
I08U-gNSC-p487-r1,a chef is serving,0,1,1,0,0
I08U-gNSC-p491-r1,The waiter serves dinner.,1,0,1,1,1
I08U-gNSC-p493-r1,A waiter presents food to a woman,1,0,1,1,1
