ResponseID,Response,Core,Answer,Gramm,Interp,Verif
I21T-gNSF-p143-r2,The boy is playing ball with a girl.,1,1,1,1,1
I21T-gNSF-p144-r2,The boy played catch with the girl. ,1,0,1,1,1
I21T-gNSF-p151-r2,He is throwing her a ball.,1,1,1,1,1
I21T-gNSF-p294-r2,He is throwing the ball to the girl.,1,1,1,1,1
I21T-gNSF-p295-r2,The boy is playing with the girl.,0,1,1,0,1
I21T-gNSF-p296-r2,He is playing catch with the girl.,1,1,1,1,1
I21T-gNSF-p297-r2,He tosses the beach toy.,0,0,1,0,1
I21T-gNSF-p298-r2,The boy is playing with the ball.,1,1,1,1,1
I21T-gNSF-p304-r2,The boy tossed the ball to the girl.,1,0,1,1,1
I21T-gNSF-p305-r2,He is tossing the ball to the girl.,1,1,1,1,1
I21T-gNSC-p307-r2,The boy is catching the ball ,0,1,1,1,0
I21T-gNSC-p308-r2,The boy has passed the beach ball to his friend.,1,0,1,1,1
I21T-gNSC-p309-r2,The boy is playing catch with a beach ball.,1,1,1,1,1
I21T-gNSC-p310-r2,The boy is getting ready to hit the ball back to the girl.,1,1,1,1,1
I21T-gNSC-p313-r2,Catching the ball,0,1,1,1,0
I21T-gNSC-p314-r2,Catching the ball,0,1,1,1,0
I21T-gNSC-p315-r2,ball keep away,0,0,0,0,0
I21T-gNSC-p317-r2,The boy is playing catch with the girl.,1,1,1,1,1
I21T-gNSC-p318-r2,The children are having fun,0,0,1,0,1
I21T-gNSC-p319-r2,throwing a ball,1,1,1,1,1
I21T-gNSC-p320-r2,throwing the ball to the girl,1,1,1,1,1
I21T-gNSC-p321-r2,He's playing with a beach ball.,1,1,1,1,1
I21T-gNSC-p327-r2,The boy is catching the ball.,0,1,1,1,0
I21T-gNSC-p328-r2,He is throwing the ball. ,1,1,1,1,1
I21T-gNSC-p329-r2,Playing catch with the girl,1,1,1,1,1
I21T-gNSC-p330-r2,The boy is playing with a girl.,0,1,1,0,1
I21T-gNSC-p331-r2,He is tossing it to a friend.,0,1,1,0,1
I21T-gNSC-p332-r2,The boy has tossed the ball to the girl.,1,0,1,1,1
I21T-gNSC-p333-r2,The boy and girl are playing catch together,1,0,1,1,1
I21T-gNSC-p335-r2,The boy is passing the ball to a girl.,1,1,1,1,1
I21T-gNSC-p339-r2,He is throwing the ball.,1,1,1,1,1
I21T-gNSC-p340-r2,Having fun,0,1,1,0,1
I21T-gNSC-p342-r2,A boy and a girl are throwing a ball back and forth.,1,0,1,1,1
I21T-gNSC-p346-r2,Failed QB way overthrows receiver.,0,0,0,1,0
I21T-gNSC-p347-r2,Trying to catch the ball.,0,1,1,1,0
I21T-gNSC-p350-r2,The kids are tossing a ball.,1,0,1,1,1
